Rk,Squad,Competition,# of Players,Weekly Wages,Annual Wages,% Estimated,Season
72,Empoli,it Serie A,57,"€ 434,615 (£ 367,176, $467,057)","€ 22,600,000 (£ 19,093,136, $24,286,971)",46%,2023-2024
73,Cádiz,es La Liga,59,"€ 423,269 (£ 357,590, $454,864)","€ 22,010,000 (£ 18,594,687, $23,652,930)",93%,2023-2024
74,Köln,de Bundesliga,56,"€ 420,769 (£ 355,478, $452,177)","€ 21,880,000 (£ 18,484,857, $23,513,227)",100%,2023-2024
75,Freiburg,de Bundesliga,48,"€ 415,769 (£ 351,254, $446,804)","€ 21,620,000 (£ 18,265,202, $23,233,814)",95%,2023-2024
76,Lorient,fr Ligue 1,58,"€ 411,154 (£ 347,355, $441,844)","€ 21,380,000 (£ 18,062,447, $22,975,902)",98%,2023-2024
77,Mallorca,es La Liga,47,"€ 396,346 (£ 334,845, $425,931)","€ 20,610,000 (£ 17,411,925, $22,148,429)",93%,2023-2024
78,Frosinone,it Serie A,58,"€ 378,846 (£ 320,060, $407,125)","€ 19,700,000 (£ 16,643,133, $21,170,503)",63%,2023-2024
79,Bochum,de Bundesliga,59,"€ 346,731 (£ 292,928, $372,612)","€ 18,030,000 (£ 15,232,267, $19,375,842)",93%,2023-2024
80,Granada,es La Liga,55,"€ 338,846 (£ 286,267, $364,139)","€ 17,620,000 (£ 14,885,887, $18,935,239)",94%,2023-2024
81,Osasuna,es La Liga,42,"€ 335,962 (£ 283,830, $361,039)","€ 17,470,000 (£ 14,759,162, $18,774,043)",95%,2023-2024
82,Strasbourg,fr Ligue 1,52,"€ 335,192 (£ 283,180, $360,213)","€ 17,430,000 (£ 14,725,369, $18,731,056)",85%,2023-2024
83,Rayo Vallecano,es La Liga,49,"€ 333,846 (£ 282,043, $358,766)","€ 17,360,000 (£ 14,666,233, $18,655,835)",83%,2023-2024
84,Almería,es La Liga,50,"€ 319,038 (£ 269,533, $342,853)","€ 16,590,000 (£ 14,015,715, $17,828,359)",94%,2023-2024
85,Las Palmas,es La Liga,46,"€ 313,269 (£ 264,659, $336,653)","€ 16,290,000 (£ 13,762,265, $17,505,962)",98%,2023-2024
86,Reims,fr Ligue 1,45,"€ 304,615 (£ 257,348, $327,353)","€ 15,840,000 (£ 13,382,092, $17,022,372)",60%,2023-2024
87,Montpellier,fr Ligue 1,45,"€ 291,731 (£ 246,463, $313,507)","€ 15,170,000 (£ 12,816,055, $16,302,359)",83%,2023-2024
88,Lecce,it Serie A,53,"€ 279,231 (£ 235,902, $300,074)","€ 14,520,000 (£ 12,266,915, $15,603,841)",68%,2023-2024
89,Brest,fr Ligue 1,45,"€ 268,654 (£ 226,967, $288,707)","€ 13,970,000 (£ 11,802,261, $15,012,785)",87%,2023-2024
90,Darmstadt 98,de Bundesliga,58,"€ 254,423 (£ 214,944, $273,414)","€ 13,230,000 (£ 11,177,086, $14,217,548)",100%,2023-2024
91,Alavés,es La Liga,39,"€ 240,577 (£ 203,246, $258,535)","€ 12,510,000 (£ 10,568,813, $13,443,806)",100%,2023-2024
92,Le Havre,fr Ligue 1,51,"€ 226,538 (£ 191,386, $243,448)","€ 11,780,000 (£ 9,952,084, $12,659,312)",100%,2023-2024
93,Metz,fr Ligue 1,53,"€ 225,192 (£ 190,249, $242,002)","€ 11,710,000 (£ 9,892,945, $12,584,089)",89%,2023-2024
94,Heidenheim,de Bundesliga,52,"€ 210,962 (£ 178,226, $226,709)","€ 10,970,000 (£ 9,267,772, $11,788,851)",100%,2023-2024
95,Toulouse,fr Ligue 1,55,"€ 189,615 (£ 160,192, $203,769)","€ 9,860,000 (£ 8,330,008, $10,595,993)",100%,2023-2024
96,Clermont Foot,fr Ligue 1,49,"€ 159,615 (£ 134,848, $171,530)","€ 8,300,000 (£ 7,012,083, $8,919,550)",100%,2023-2024
