,,,,,,Rk,Squad,Competition,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90
8,Augsburg,de Bundesliga,30,26.5,46.4,34,374,"3,060",34.0,50,33,83,45,5,5,55,1,45.3,41.8,32.0,73.9,515,1158,1.47,0.97,2.44,1.32,2.29,1.33,0.94,2.28,1.23,2.17
9,Barcelona,es La Liga,30,27.7,64.4,38,418,"3,420",38.0,88,61,149,80,8,9,77,2,75.8,68.7,55.8,124.6,851,2110,2.32,1.61,3.92,2.11,3.71,1.99,1.47,3.46,1.81,3.28
10,Bayern Munich,de Bundesliga,24,27.4,65.7,34,374,"3,060",34.0,86,62,148,83,3,4,44,2,85.6,82.4,66.1,148.5,960,2192,2.53,1.82,4.35,2.44,4.26,2.52,1.94,4.46,2.42,4.37
11,Betis,es La Liga,25,26.7,61.8,38,418,"3,420",38.0,43,30,73,38,5,7,89,1,47.1,41.5,32.9,74.4,887,1631,1.13,0.79,1.92,1.00,1.79,1.24,0.87,2.10,1.09,1.96
12,Bologna,it Serie A,29,27.0,44.9,38,418,"3,420",38.0,45,35,80,40,5,5,94,6,46.8,42.9,30.8,73.7,675,1328,1.18,0.92,2.11,1.05,1.97,1.23,0.81,2.04,1.13,1.94
13,Bordeaux,fr Ligue 1,33,25.3,50.1,38,418,"3,420",38.0,34,26,60,29,5,6,74,5,39.7,35.0,29.5,64.5,742,1374,0.89,0.68,1.58,0.76,1.45,1.05,0.78,1.82,0.92,1.70
14,Bournemouth,eng Premier League,28,26.6,46.9,38,418,"3,420",38.0,55,43,98,48,7,9,60,1,53.3,46.2,38.8,85.0,738,1435,1.45,1.13,2.58,1.26,2.39,1.40,1.02,2.42,1.22,2.24
15,Brighton,eng Premier League,21,27.4,42.4,38,418,"3,420",38.0,35,24,59,30,5,6,62,4,35.3,30.7,24.5,55.2,475,1150,0.92,0.63,1.55,0.79,1.42,0.93,0.64,1.57,0.81,1.45
16,Burnley,eng Premier League,23,28.0,41.2,38,418,"3,420",38.0,43,32,75,41,2,2,75,1,44.4,42.8,31.2,74.0,421,1032,1.13,0.84,1.97,1.08,1.92,1.17,0.82,1.99,1.13,1.95
17,Caen,fr Ligue 1,26,25.8,44.0,38,418,"3,420",38.0,29,17,46,25,4,4,83,6,31.0,27.9,20.6,48.5,500,1019,0.76,0.45,1.21,0.66,1.11,0.82,0.54,1.36,0.73,1.28
18,Cagliari,it Serie A,30,27.9,49.8,38,418,"3,420",38.0,35,27,62,33,2,3,99,9,42.1,39.7,30.7,70.4,555,1288,0.92,0.71,1.63,0.87,1.58,1.11,0.81,1.91,1.05,1.85
19,Cardiff City,eng Premier League,25,27.7,35.4,38,418,"3,420",38.0,33,20,53,30,3,4,66,1,42.4,39.2,27.6,66.8,434,918,0.87,0.53,1.39,0.79,1.32,1.11,0.73,1.84,1.03,1.76
20,Celta Vigo,es La Liga,28,25.5,51.6,38,418,"3,420",38.0,52,37,89,45,7,7,84,6,46.5,41.2,33.6,74.8,673,1288,1.37,0.97,2.34,1.18,2.16,1.22,0.88,2.11,1.08,1.97
21,Chelsea,eng Premier League,24,27.3,62.9,38,418,"3,420",38.0,61,52,113,56,5,5,49,0,58.6,54.6,44.9,99.6,1058,2155,1.61,1.37,2.97,1.47,2.84,1.54,1.18,2.72,1.44,2.62
22,Chievo,it Serie A,36,28.3,43.3,38,418,"3,420",38.0,25,17,42,21,4,6,116,7,36.0,31.7,25.6,57.3,500,1229,0.66,0.45,1.11,0.55,1.00,0.95,0.67,1.62,0.83,1.51
23,Crystal Palace,eng Premier League,26,27.4,45.2,38,418,"3,420",38.0,48,33,81,38,10,11,59,2,47.6,39.2,29.5,68.7,771,1458,1.26,0.87,2.13,1.00,1.87,1.25,0.78,2.03,1.03,1.81
24,Dijon,fr Ligue 1,26,27.1,47.9,38,418,"3,420",38.0,29,21,50,26,3,4,79,7,39.8,36.6,28.1,64.8,677,1334,0.76,0.55,1.32,0.68,1.24,1.05,0.74,1.79,0.96,1.70
25,Dortmund,de Bundesliga,23,24.8,58.1,34,374,"3,060",34.0,80,60,140,76,4,4,40,3,61.5,58.4,46.0,104.4,784,1637,2.35,1.76,4.12,2.24,4.00,1.81,1.35,3.16,1.72,3.07
26,Düsseldorf,de Bundesliga,24,26.9,43.2,34,374,"3,060",34.0,48,35,83,43,5,7,67,1,47.1,41.6,32.2,73.8,553,1202,1.41,1.03,2.44,1.26,2.29,1.39,0.95,2.33,1.22,2.17
27,Eibar,es La Liga,25,28.5,54.0,38,418,"3,420",38.0,46,26,72,39,7,8,82,2,54.8,48.6,36.7,85.3,565,1619,1.21,0.68,1.89,1.03,1.71,1.44,0.96,2.41,1.28,2.24
28,Eint Frankfurt,de Bundesliga,30,26.4,47.2,34,374,"3,060",34.0,60,42,102,56,4,4,60,3,57.2,54.4,42.9,97.3,625,1247,1.76,1.24,3.00,1.65,2.88,1.68,1.26,2.95,1.60,2.86
29,Empoli,it Serie A,29,26.4,47.9,38,418,"3,420",38.0,48,36,84,44,4,7,74,3,52.4,46.8,37.5,84.3,801,1567,1.26,0.95,2.21,1.16,2.11,1.38,0.99,2.36,1.23,2.22
30,Espanyol,es La Liga,25,27.7,49.4,38,418,"3,420",38.0,43,26,69,39,4,4,92,2,48.9,45.8,33.8,79.6,642,1495,1.13,0.68,1.82,1.03,1.71,1.29,0.89,2.18,1.21,2.10
31,Everton,eng Premier League,23,25.7,51.5,38,418,"3,420",38.0,53,34,87,51,2,5,57,4,49.7,45.7,33.7,79.4,697,1581,1.39,0.89,2.29,1.34,2.24,1.31,0.89,2.19,1.20,2.09
32,Fiorentina,it Serie A,27,24.1,50.4,38,418,"3,420",38.0,45,24,69,40,5,6,91,5,54.0,49.2,35.8,85.0,801,1544,1.18,0.63,1.82,1.05,1.68,1.42,0.94,2.36,1.30,2.24
33,Freiburg,de Bundesliga,28,25.8,44.0,34,374,"3,060",34.0,44,25,69,39,5,6,57,3,40.9,36.2,26.5,62.6,507,1064,1.29,0.74,2.03,1.15,1.88,1.20,0.78,1.98,1.06,1.84
34,Frosinone,it Serie A,33,26.4,41.5,38,418,"3,420",38.0,28,21,49,24,4,5,99,2,38.9,35.1,27.1,62.2,520,1220,0.74,0.55,1.29,0.63,1.18,1.02,0.71,1.74,0.92,1.64
35,Fulham,eng Premier League,28,26.0,48.8,38,418,"3,420",38.0,33,24,57,31,2,3,72,2,41.3,39.0,30.0,69.0,628,1487,0.87,0.63,1.50,0.82,1.45,1.09,0.79,1.88,1.03,1.82
36,Genoa,it Serie A,31,26.0,43.4,38,418,"3,420",38.0,37,26,63,33,4,5,96,7,46.9,43.0,32.5,75.5,690,1274,0.97,0.68,1.66,0.87,1.55,1.24,0.86,2.09,1.13,1.99
37,Getafe,es La Liga,26,27.5,40.7,38,418,"3,420",38.0,47,34,81,41,6,6,111,7,46.2,41.6,32.9,74.4,448,1131,1.24,0.89,2.13,1.08,1.97,1.22,0.87,2.08,1.09,1.96
38,Girona,es La Liga,26,26.6,48.0,38,418,"3,420",38.0,37,23,60,31,6,6,83,4,43.5,39.3,29.3,68.6,634,1316,0.97,0.61,1.58,0.82,1.42,1.14,0.77,1.91,1.04,1.81
39,Gladbach,de Bundesliga,22,26.5,53.1,34,374,"3,060",34.0,53,43,96,49,4,7,43,0,52.2,46.7,36.7,83.4,775,1532,1.56,1.26,2.82,1.44,2.71,1.54,1.08,2.62,1.37,2.45
40,Guingamp,fr Ligue 1,30,26.0,44.1,38,418,"3,420",38.0,28,21,49,23,5,6,58,5,40.4,35.7,28.8,64.5,645,1398,0.74,0.55,1.29,0.61,1.16,1.06,0.76,1.82,0.94,1.70
41,Hannover 96,de Bundesliga,32,26.3,46.3,34,374,"3,060",34.0,30,20,50,27,3,3,64,4,37.2,34.9,27.2,62.0,572,1105,0.88,0.59,1.47,0.79,1.38,1.10,0.80,1.89,1.03,1.82
42,Hertha BSC,de Bundesliga,26,25.9,47.9,34,374,"3,060",34.0,49,32,81,45,4,4,67,5,51.0,48.0,36.8,84.8,562,1241,1.44,0.94,2.38,1.32,2.26,1.50,1.08,2.58,1.41,2.49
43,Hoffenheim,de Bundesliga,29,25.5,53.8,34,374,"3,060",34.0,69,49,118,63,6,7,69,2,75.9,70.6,56.8,127.3,950,1589,2.03,1.44,3.47,1.85,3.29,2.23,1.67,3.90,2.08,3.74
44,Huddersfield,eng Premier League,31,26.2,47.2,38,418,"3,420",38.0,21,13,34,20,1,1,57,4,28.8,28.0,19.9,47.9,601,1248,0.55,0.34,0.89,0.53,0.87,0.76,0.52,1.28,0.74,1.26
45,Huesca,es La Liga,30,26.7,44.5,38,418,"3,420",38.0,43,28,71,37,6,7,114,3,50.8,45.4,34.6,80.0,653,1209,1.13,0.74,1.87,0.97,1.71,1.34,0.91,2.25,1.19,2.10
46,Inter,it Serie A,23,27.7,59.4,38,418,"3,420",38.0,57,36,93,49,8,9,75,3,63.8,56.8,45.4,102.3,954,1917,1.50,0.95,2.45,1.29,2.24,1.68,1.20,2.88,1.50,2.69
47,Juventus,it Serie A,31,28.0,55.9,38,418,"3,420",38.0,66,44,110,59,7,8,78,4,60.7,54.5,42.5,97.1,926,1853,1.74,1.16,2.89,1.55,2.71,1.60,1.12,2.72,1.44,2.55
48,Lazio,it Serie A,30,27.9,50.8,38,418,"3,420",38.0,54,35,89,48,6,6,90,4,60.4,55.8,44.4,100.2,912,1737,1.42,0.92,2.34,1.26,2.18,1.59,1.17,2.76,1.47,2.64
49,Leganés,es La Liga,29,26.6,43.1,38,418,"3,420",38.0,36,25,61,33,3,5,106,4,40.6,36.8,28.1,64.9,447,1153,0.95,0.66,1.61,0.87,1.53,1.07,0.74,1.81,0.97,1.71
50,Leicester City,eng Premier League,25,25.9,50.9,38,418,"3,420",38.0,48,34,82,43,5,7,63,5,52.4,47.3,37.6,84.9,752,1537,1.26,0.89,2.16,1.13,2.03,1.38,0.99,2.37,1.24,2.23
51,Levante,es La Liga,26,26.3,45.7,38,418,"3,420",38.0,56,39,95,51,5,7,112,7,53.9,48.4,38.5,86.9,709,1295,1.47,1.03,2.50,1.34,2.37,1.42,1.01,2.43,1.27,2.29
52,Leverkusen,de Bundesliga,21,25.3,59.8,34,374,"3,060",34.0,68,51,119,64,4,5,50,1,58.3,54.4,43.8,98.2,719,1791,2.00,1.50,3.50,1.88,3.38,1.71,1.29,3.00,1.60,2.89
53,Lille,fr Ligue 1,25,24.1,51.4,38,418,"3,420",38.0,66,49,115,55,11,13,71,4,59.5,49.3,38.7,87.9,757,1461,1.74,1.29,3.03,1.45,2.74,1.56,1.02,2.58,1.30,2.31
54,Liverpool,eng Premier League,23,26.1,61.8,38,418,"3,420",38.0,86,55,141,79,7,7,41,2,73.7,68.4,49.8,118.2,857,2008,2.26,1.45,3.71,2.08,3.53,1.94,1.31,3.25,1.80,3.11
55,Lyon,fr Ligue 1,25,24.4,60.4,38,418,"3,420",38.0,70,54,124,65,5,10,57,3,73.7,66.1,49.0,115.0,977,2093,1.84,1.42,3.26,1.71,3.13,1.94,1.29,3.23,1.74,3.03
56,Mainz 05,de Bundesliga,28,24.2,46.1,34,374,"3,060",34.0,44,30,74,41,3,3,56,0,51.2,48.8,37.5,86.3,624,1261,1.29,0.88,2.18,1.21,2.09,1.51,1.10,2.61,1.44,2.54
57,Manchester City,eng Premier League,21,26.7,67.9,38,418,"3,420",38.0,91,71,162,88,3,4,44,1,84.3,81.3,65.5,146.7,1325,2429,2.39,1.87,4.26,2.32,4.18,2.22,1.72,3.94,2.14,3.86
58,Manchester Utd,eng Premier League,28,26.3,54.7,38,418,"3,420",38.0,65,40,105,56,9,12,77,4,61.4,52.0,39.6,91.6,801,1668,1.71,1.05,2.76,1.47,2.53,1.62,1.04,2.66,1.37,2.41
59,Marseille,fr Ligue 1,24,26.9,55.2,38,418,"3,420",38.0,59,45,104,55,4,5,83,8,52.7,48.9,38.5,87.4,809,1474,1.55,1.18,2.74,1.45,2.63,1.39,1.01,2.40,1.29,2.30
60,Milan,it Serie A,23,24.8,54.1,38,418,"3,420",38.0,51,35,86,48,3,4,82,5,48.8,45.7,35.6,81.3,821,1759,1.34,0.92,2.26,1.26,2.18,1.28,0.94,2.22,1.20,2.14
61,Monaco,fr Ligue 1,42,25.6,49.8,38,418,"3,420",38.0,38,25,63,34,4,5,92,6,47.4,43.5,31.4,74.9,773,1624,1.00,0.66,1.66,0.89,1.55,1.25,0.83,2.07,1.14,1.97
62,Montpellier,fr Ligue 1,25,28.0,48.0,38,418,"3,420",38.0,50,28,78,47,3,3,61,4,50.1,47.7,35.1,82.8,601,1497,1.32,0.74,2.05,1.24,1.97,1.32,0.92,2.24,1.26,2.18
63,Nantes,fr Ligue 1,33,25.9,50.1,38,418,"3,420",38.0,46,28,74,40,6,8,75,6,49.1,42.8,30.6,73.3,656,1472,1.21,0.74,1.95,1.05,1.79,1.29,0.80,2.10,1.13,1.93
64,Napoli,it Serie A,26,27.0,59.1,38,418,"3,420",38.0,73,54,127,70,3,4,75,5,61.8,58.8,49.4,108.2,934,2089,1.92,1.42,3.34,1.84,3.26,1.63,1.30,2.93,1.55,2.85
65,Newcastle Utd,eng Premier League,24,26.9,40.4,38,418,"3,420",38.0,41,33,74,40,1,3,57,2,39.1,36.7,27.4,64.1,467,985,1.08,0.87,1.95,1.05,1.92,1.03,0.72,1.75,0.97,1.69
66,Nice,fr Ligue 1,30,24.2,54.8,38,418,"3,420",38.0,28,18,46,23,5,9,73,5,46.3,39.2,30.8,70.1,740,1537,0.74,0.47,1.21,0.61,1.08,1.22,0.81,2.03,1.03,1.84
67,Nîmes,fr Ligue 1,23,24.1,45.7,38,418,"3,420",38.0,55,37,92,51,4,6,71,5,50.0,45.3,34.1,79.4,717,1229,1.45,0.97,2.42,1.34,2.32,1.32,0.90,2.21,1.19,2.09
68,Nürnberg,de Bundesliga,27,24.9,42.4,34,374,"3,060",34.0,25,16,41,23,2,6,59,4,35.7,30.9,21.1,52.0,483,989,0.74,0.47,1.21,0.68,1.15,1.05,0.62,1.67,0.91,1.53
69,Paris S-G,fr Ligue 1,30,26.2,63.7,38,418,"3,420",38.0,103,72,175,93,10,12,64,4,88.9,79.5,63.1,142.6,993,2207,2.71,1.89,4.61,2.45,4.34,2.34,1.66,4.00,2.09,3.75
70,Parma,it Serie A,31,29.4,37.7,38,418,"3,420",38.0,40,22,62,36,4,5,84,3,40.2,36.3,26.9,63.1,487,990,1.05,0.58,1.63,0.95,1.53,1.06,0.71,1.77,0.95,1.66
71,Rayo Vallecano,es La Liga,29,26.6,48.7,38,418,"3,420",38.0,40,24,64,35,5,5,106,8,48.7,44.8,33.0,77.7,831,1326,1.05,0.63,1.68,0.92,1.55,1.28,0.87,2.15,1.18,2.05
72,RB Leipzig,de Bundesliga,23,24.0,49.6,34,374,"3,060",34.0,63,41,104,58,5,7,61,1,65.7,60.2,46.0,106.2,733,1607,1.85,1.21,3.06,1.71,2.91,1.93,1.35,3.29,1.77,3.12
73,Real Madrid,es La Liga,27,27.1,60.1,38,418,"3,420",38.0,61,39,100,52,9,9,83,6,66.7,60.2,49.9,110.1,1009,2094,1.61,1.03,2.63,1.37,2.39,1.76,1.31,3.07,1.58,2.90
74,Real Sociedad,es La Liga,30,24.9,51.7,38,418,"3,420",38.0,44,27,71,36,8,10,82,4,49.7,42.2,33.0,75.2,695,1381,1.16,0.71,1.87,0.95,1.66,1.31,0.87,2.18,1.11,1.98
75,Reims,fr Ligue 1,27,26.2,43.6,38,418,"3,420",38.0,39,27,66,37,2,2,67,2,38.1,36.5,27.7,64.1,593,1262,1.03,0.71,1.74,0.97,1.68,1.00,0.73,1.73,0.96,1.69
76,Rennes,fr Ligue 1,28,25.7,50.6,38,418,"3,420",38.0,52,34,86,45,7,10,70,3,55.6,47.8,34.4,82.1,884,1522,1.37,0.89,2.26,1.18,2.08,1.46,0.90,2.37,1.26,2.16
77,Roma,it Serie A,26,27.5,51.4,38,418,"3,420",38.0,65,41,106,59,6,6,90,2,64.4,59.6,46.2,105.8,838,1678,1.71,1.08,2.79,1.55,2.63,1.69,1.22,2.91,1.57,2.78
78,Saint-Étienne,fr Ligue 1,29,27.8,52.5,38,418,"3,420",38.0,56,40,96,51,5,5,67,7,56.7,52.7,39.2,91.9,753,1543,1.47,1.05,2.53,1.34,2.39,1.49,1.03,2.52,1.39,2.42
79,Sampdoria,it Serie A,24,26.1,54.9,38,418,"3,420",38.0,60,41,101,50,10,12,92,3,50.5,41.8,34.1,75.9,630,1685,1.58,1.08,2.66,1.32,2.39,1.33,0.90,2.22,1.10,2.00
80,Sassuolo,it Serie A,29,25.4,53.8,38,418,"3,420",38.0,50,33,83,45,5,5,90,8,48.5,44.6,34.1,78.8,721,1511,1.32,0.87,2.18,1.18,2.05,1.28,0.90,2.17,1.17,2.07
81,Schalke 04,de Bundesliga,32,25.8,45.4,34,374,"3,060",34.0,37,23,60,30,7,9,73,5,45.6,39.0,29.7,68.7,676,1148,1.09,0.68,1.76,0.88,1.56,1.34,0.87,2.21,1.15,2.02
82,Sevilla,es La Liga,27,27.9,52.3,38,418,"3,420",38.0,60,47,107,55,5,6,118,6,66.6,61.8,49.3,111.1,828,1804,1.58,1.24,2.82,1.45,2.68,1.75,1.30,3.05,1.63,2.92
83,Southampton,eng Premier League,30,25.4,43.4,38,418,"3,420",38.0,44,27,71,40,4,5,75,3,46.9,43.4,29.3,72.7,603,1333,1.16,0.71,1.87,1.05,1.76,1.23,0.77,2.00,1.14,1.91
84,SPAL,it Serie A,28,27.8,50.4,38,418,"3,420",38.0,44,30,74,37,7,8,113,3,43.9,37.7,28.2,65.8,910,1259,1.16,0.79,1.95,0.97,1.76,1.16,0.74,1.90,0.99,1.73
85,Strasbourg,fr Ligue 1,26,26.2,50.1,38,418,"3,420",38.0,57,43,100,52,5,7,71,4,41.3,35.8,28.1,63.9,683,1460,1.50,1.13,2.63,1.37,2.50,1.09,0.74,1.83,0.94,1.68
86,Stuttgart,de Bundesliga,26,26.3,45.9,34,374,"3,060",34.0,32,26,58,31,1,1,66,5,38.0,37.3,28.2,65.5,506,1130,0.94,0.76,1.71,0.91,1.68,1.12,0.83,1.95,1.10,1.93
87,Torino,it Serie A,25,27.6,51.1,38,418,"3,420",38.0,50,31,81,45,5,6,89,4,46.6,41.9,32.0,73.9,770,1407,1.32,0.82,2.13,1.18,2.00,1.23,0.84,2.07,1.10,1.94
88,Tottenham,eng Premier League,28,26.8,59.0,38,418,"3,420",38.0,66,47,113,62,4,4,58,3,54.9,51.8,39.1,90.9,840,1744,1.74,1.24,2.97,1.63,2.87,1.44,1.03,2.47,1.36,2.39
89,Toulouse,fr Ligue 1,29,25.5,48.2,38,418,"3,420",38.0,35,16,51,28,7,11,77,5,45.7,37.1,29.3,66.4,684,1465,0.92,0.42,1.34,0.74,1.16,1.20,0.77,1.97,0.98,1.75
90,Udinese,it Serie A,31,25.3,42.6,38,418,"3,420",38.0,37,30,67,34,3,8,92,4,42.5,36.0,27.9,63.9,713,1088,0.97,0.79,1.76,0.89,1.68,1.12,0.73,1.85,0.95,1.68
91,Valencia,es La Liga,25,26.4,47.1,38,418,"3,420",38.0,50,38,88,45,5,7,90,3,60.7,55.2,46.7,101.9,751,1561,1.32,1.00,2.32,1.18,2.18,1.60,1.23,2.83,1.45,2.68
92,Valladolid,es La Liga,28,27.4,46.8,38,418,"3,420",38.0,31,19,50,27,4,7,92,0,41.1,35.6,26.7,62.3,662,1299,0.82,0.50,1.32,0.71,1.21,1.08,0.70,1.78,0.94,1.64
93,Villarreal,es La Liga,26,27.1,48.3,38,418,"3,420",38.0,47,34,81,44,3,6,118,3,53.9,50.0,39.0,89.0,715,1648,1.24,0.89,2.13,1.16,2.05,1.42,1.03,2.45,1.31,2.34
94,Watford,eng Premier League,25,28.5,46.7,38,418,"3,420",38.0,51,39,90,50,1,1,80,4,48.2,47.5,34.8,82.3,588,1294,1.34,1.03,2.37,1.32,2.34,1.27,0.92,2.19,1.25,2.17
95,Werder Bremen,de Bundesliga,24,27.1,52.1,34,374,"3,060",34.0,57,38,95,53,4,4,64,3,49.8,46.7,33.7,80.3,635,1672,1.68,1.12,2.79,1.56,2.68,1.46,0.99,2.45,1.37,2.36
96,West Ham,eng Premier League,26,27.6,48.6,38,418,"3,420",38.0,51,33,84,46,5,5,59,1,47.6,43.8,34.1,77.9,731,1478,1.34,0.87,2.21,1.21,2.08,1.25,0.90,2.15,1.15,2.05
97,Wolfsburg,de Bundesliga,25,25.4,53.3,34,374,"3,060",34.0,59,38,97,54,5,5,62,0,47.6,43.8,33.0,76.9,618,1320,1.74,1.12,2.85,1.59,2.71,1.40,0.97,2.37,1.29,2.26
98,Wolves,eng Premier League,21,26.1,46.8,38,418,"3,420",38.0,46,35,81,42,4,4,73,1,52.1,49.0,39.4,88.4,743,1350,1.21,0.92,2.13,1.11,2.03,1.37,1.04,2.41,1.29,2.33
1,Alavés,es La Liga,32,27.6,41.5,38,418,"3,420",38.0,34,20,54,28,6,6,111,7,39.3,34.7,26.9,61.6,403,944,0.89,0.53,1.42,0.74,1.26,1.03,0.71,1.74,0.91,1.62
2,Amiens,fr Ligue 1,27,27.4,45.6,28,308,"2,520",28.0,30,20,50,27,3,5,59,4,27.4,23.4,16.9,40.4,384,1013,1.07,0.71,1.79,0.96,1.68,0.98,0.60,1.58,0.84,1.44
3,Angers,fr Ligue 1,26,28.0,45.3,28,308,"2,520",28.0,27,21,48,26,1,1,43,2,29.3,28.5,23.0,51.5,542,1088,0.96,0.75,1.71,0.93,1.68,1.05,0.82,1.87,1.02,1.84
4,Arsenal,eng Premier League,29,25.8,53.8,38,418,"3,420",38.0,56,35,91,53,3,3,88,5,47.0,44.6,31.4,76.1,815,1641,1.47,0.92,2.39,1.39,2.32,1.24,0.83,2.06,1.17,2.00
5,Aston Villa,eng Premier League,28,25.7,44.1,38,418,"3,420",38.0,40,32,72,39,1,3,70,1,44.3,41.8,34.2,76.0,639,1247,1.05,0.84,1.89,1.03,1.87,1.16,0.90,2.06,1.10,2.00
6,Atalanta,it Serie A,30,27.2,57.2,38,418,"3,420",38.0,96,68,164,89,7,10,80,2,83.5,75.6,58.9,134.5,978,1867,2.53,1.79,4.32,2.34,4.13,2.20,1.55,3.75,1.99,3.54
7,Athletic Club,es La Liga,26,26.7,48.7,38,418,"3,420",38.0,40,23,63,32,8,10,90,2,41.5,33.8,26.2,60.0,604,1291,1.05,0.61,1.66,0.84,1.45,1.09,0.69,1.78,0.89,1.58
8,Atlético Madrid,es La Liga,30,26.1,48.6,38,418,"3,420",38.0,50,35,85,44,6,8,93,3,56.8,50.6,39.4,90.0,598,1333,1.32,0.92,2.24,1.16,2.08,1.50,1.04,2.53,1.33,2.37
9,Augsburg,de Bundesliga,28,26.2,38.6,34,374,"3,060",34.0,45,29,74,42,3,5,68,2,43.1,39.1,29.7,68.8,411,815,1.32,0.85,2.18,1.24,2.09,1.27,0.87,2.14,1.15,2.02
10,Barcelona,es La Liga,28,27.8,66.4,38,418,"3,420",38.0,84,62,146,78,6,6,92,6,66.3,61.7,49.5,111.2,923,2042,2.21,1.63,3.84,2.05,3.68,1.75,1.30,3.05,1.62,2.93
11,Bayern Munich,de Bundesliga,29,26.7,65.1,34,374,"3,060",34.0,97,75,172,91,6,6,54,3,89.5,84.8,73.1,157.9,930,2300,2.85,2.21,5.06,2.68,4.88,2.63,2.15,4.78,2.49,4.64
12,Betis,es La Liga,27,27.5,56.7,38,418,"3,420",38.0,48,35,83,42,6,8,108,9,51.0,45.2,36.9,82.0,834,1475,1.26,0.92,2.18,1.11,2.03,1.34,0.97,2.31,1.19,2.16
13,Bologna,it Serie A,31,27.2,52.6,38,418,"3,420",38.0,48,31,79,43,5,6,109,7,56.9,52.2,41.3,93.5,799,1672,1.26,0.82,2.08,1.13,1.95,1.50,1.09,2.58,1.37,2.46
14,Bordeaux,fr Ligue 1,26,26.9,53.6,28,308,"2,520",28.0,40,29,69,38,2,2,55,0,30.4,28.8,21.6,50.4,441,995,1.43,1.04,2.46,1.36,2.39,1.08,0.77,1.86,1.03,1.80
15,Bournemouth,eng Premier League,27,25.2,44.1,38,418,"3,420",38.0,38,24,62,34,4,4,78,3,44.8,41.7,30.6,72.3,601,1256,1.00,0.63,1.63,0.89,1.53,1.18,0.80,1.98,1.10,1.90
16,Brescia,it Serie A,32,25.6,40.6,38,418,"3,420",38.0,34,22,56,30,4,4,95,6,43.4,40.2,28.8,69.0,537,1241,0.89,0.58,1.47,0.79,1.37,1.14,0.76,1.90,1.06,1.82
17,Brest,fr Ligue 1,24,26.1,49.8,28,308,"2,520",28.0,32,27,59,31,1,5,45,2,30.7,26.8,22.1,48.9,415,1138,1.14,0.96,2.11,1.11,2.07,1.10,0.79,1.89,0.96,1.75
18,Brighton,eng Premier League,25,26.4,52.2,38,418,"3,420",38.0,35,24,59,34,1,2,59,2,45.4,43.8,31.6,75.4,669,1675,0.92,0.63,1.55,0.89,1.53,1.20,0.83,2.03,1.15,1.99
19,Burnley,eng Premier League,22,28.0,41.9,38,418,"3,420",38.0,41,30,71,38,3,3,67,0,47.4,45.3,32.4,77.7,437,890,1.08,0.79,1.87,1.00,1.79,1.25,0.85,2.10,1.19,2.04
20,Cagliari,it Serie A,33,27.4,45.7,38,418,"3,420",38.0,50,34,84,46,4,6,108,6,41.8,37.1,32.0,69.0,662,1288,1.32,0.89,2.21,1.21,2.11,1.10,0.84,1.94,0.98,1.82
21,Celta Vigo,es La Liga,30,25.8,51.7,38,418,"3,420",38.0,37,26,63,31,6,9,104,6,39.2,32.4,26.2,58.7,670,1364,0.97,0.68,1.66,0.82,1.50,1.03,0.69,1.72,0.85,1.54
22,Chelsea,eng Premier League,27,25.5,60.4,38,418,"3,420",38.0,69,46,115,62,7,7,60,0,69.2,64.4,46.7,111.1,983,1897,1.82,1.21,3.03,1.63,2.84,1.82,1.23,3.05,1.70,2.92
23,Crystal Palace,eng Premier League,25,29.4,44.8,38,418,"3,420",38.0,29,20,49,26,3,3,62,2,35.8,33.6,26.0,59.5,596,1223,0.76,0.53,1.29,0.68,1.21,0.94,0.68,1.63,0.88,1.57
24,Dijon,fr Ligue 1,28,26.9,46.5,28,308,"2,520",28.0,26,17,43,25,1,1,43,2,30.5,29.9,22.9,52.8,513,909,0.93,0.61,1.54,0.89,1.50,1.09,0.82,1.91,1.07,1.88
25,Dortmund,de Bundesliga,27,25.8,60.4,34,374,"3,060",34.0,84,74,158,82,2,2,49,1,61.0,59.5,50.6,110.1,792,1736,2.47,2.18,4.65,2.41,4.59,1.80,1.49,3.28,1.75,3.24
26,Düsseldorf,de Bundesliga,28,27.1,45.6,34,374,"3,060",34.0,36,26,62,32,4,4,78,0,35.9,32.7,24.2,56.9,487,1268,1.06,0.76,1.82,0.94,1.71,1.06,0.71,1.77,0.96,1.67
27,Eibar,es La Liga,26,29.3,46.3,38,418,"3,420",38.0,38,24,62,31,7,10,92,3,42.0,34.2,26.0,60.2,424,1265,1.00,0.63,1.63,0.82,1.45,1.10,0.68,1.79,0.90,1.58
28,Eint Frankfurt,de Bundesliga,27,27.0,50.9,34,374,"3,060",34.0,57,45,102,55,2,2,71,4,59.5,58.0,44.8,102.8,677,1389,1.68,1.32,3.00,1.62,2.94,1.75,1.32,3.07,1.71,3.02
