,,,,,,Rk,Player,Nation,Position,Squad,Competition,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage
136,Rui Patrício,pt POR,GK,Wolves,eng Premier League,30,1988,37,37,"3,330",37.0,46,1.24,138,96,68.8,15,9,13,7,18.9,4,3,0,1,0.0,Matches
137,Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,26,1992,34,34,"2,978",33.1,47,1.42,153,106,71.2,14,11,9,5,14.7,4,3,0,1,0.0,Matches
138,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,37,1981,3,2,202,2.3,4,1.78,12,8,66.7,0,1,1,0,0.0,0,0,0,0,,Matches
139,Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,35,1982,9,7,680,7.6,12,1.59,25,12,68.0,4,2,1,3,42.9,5,4,1,0,20.0,Matches
140,Mattia Perin,it ITA,GK,Juventus,it Serie A,25,1992,9,9,810,9.0,8,0.89,27,19,74.1,6,1,2,5,55.6,1,1,0,0,0.0,Matches
141,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,30,1987,10,8,765,8.5,11,1.29,40,29,72.5,5,1,2,1,12.5,1,0,0,1,,Matches
142,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,24,1994,38,38,"3,420",38.0,46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,0,60.0,Matches
143,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,28,1990,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
144,Luca Plogmann,de GER,GK,Werder Bremen,de Bundesliga,18,2000,1,0,37,0.4,1,2.43,1,0,100.0,0,0,0,0,,1,1,0,0,0.0,Matches
145,Giacomo Poluzzi,it ITA,GK,SPAL,it Serie A,30,1988,1,0,5,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
146,Gaëtan Poussin,fr FRA,GK,Bordeaux,fr Ligue 1,19,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
147,Silvio Proto,be BEL,GK,Lazio,it Serie A,35,1983,2,2,180,2.0,4,2.00,13,9,69.2,1,0,1,0,0.0,0,0,0,0,,Matches
148,Ivan Provedel,it ITA,GK,Empoli,it Serie A,24,1994,16,16,"1,440",16.0,36,2.25,104,69,68.3,4,4,8,0,0.0,4,3,0,1,0.0,Matches
149,Ionuț Radu,ro ROU,GK,Genoa,it Serie A,21,1997,33,33,"2,970",33.0,46,1.39,149,102,72.5,6,14,13,6,18.2,6,5,1,0,16.7,Matches
150,Pepe Reina,es ESP,GK,Milan,it Serie A,35,1982,4,2,328,3.7,5,1.37,14,9,71.4,1,0,1,1,50.0,1,1,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
151,Michael Rensing,de GER,GK,Düsseldorf,de Bundesliga,34,1984,32,32,"2,880",32.0,62,1.94,170,108,67.6,12,5,15,5,15.6,7,7,0,0,0.0,Matches
152,Baptiste Reynet,fr FRA,GK,Toulouse,fr Ligue 1,27,1990,31,31,"2,704",30.0,45,1.50,143,98,71.3,6,11,14,6,19.4,5,4,1,0,20.0,Matches
153,Sergio Rico,es ESP,GK,Fulham,eng Premier League,24,1993,29,29,"2,610",29.0,56,1.93,165,111,68.5,6,3,20,5,17.2,4,4,0,0,0.0,Matches
154,Asier Riesgo,es ESP,GK,Eibar,es La Liga,34,1983,15,14,"1,260",14.0,20,1.43,46,27,56.5,2,8,4,4,28.6,0,0,0,0,,Matches
155,Joel Robles,es ESP,GK,Betis,es La Liga,28,1990,5,5,450,5.0,5,1.00,21,16,81.0,2,1,2,1,20.0,1,1,0,0,0.0,Matches
156,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,27,1991,1,0,,0.0,0,,0,0,,0,0,0,0,,0,0,0,0,,Matches
157,John Ruddy,eng ENG,GK,Wolves,eng Premier League,31,1986,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
158,Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,31,1986,37,37,"3,330",37.0,40,1.08,148,107,77.7,19,8,10,13,35.1,9,7,1,1,12.5,Matches
159,Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,26,1992,27,27,"2,430",27.0,35,1.30,109,75,69.7,10,9,8,7,25.9,3,2,1,0,33.3,Matches
160,Mathew Ryan,au AUS,GK,Brighton,eng Premier League,26,1992,34,34,"3,060",34.0,55,1.62,152,96,69.1,8,8,18,6,17.6,8,8,0,0,0.0,Matches
161,Frederik Rønnow,dk DEN,GK,Eint Frankfurt,de Bundesliga,25,1992,2,1,122,1.4,0,0.00,7,7,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
162,Samuel Şahin-Radlinger,at AUT,GK,Hannover 96,de Bundesliga,25,1992,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
163,Brice Samba,fr FRA,GK,Caen,fr Ligue 1,24,1994,38,38,"3,420",38.0,54,1.42,193,139,75.1,7,12,19,9,23.7,8,6,2,0,25.0,Matches
164,Roberto Santamaría,es ESP,GK,Huesca,es La Liga,33,1985,20,20,"1,800",20.0,30,1.50,96,67,75.0,5,7,8,6,30.0,6,6,0,0,0.0,Matches
165,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,31,1986,38,38,"3,420",38.0,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0.0,Matches
166,Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,26,1992,33,33,"2,970",33.0,60,1.82,170,110,68.8,7,12,14,5,15.2,7,7,0,0,0.0,Matches
167,Simone Scuffet,it ITA,GK,Udinese,it Serie A,22,1996,9,9,810,9.0,13,1.44,38,25,68.4,2,2,5,2,22.2,1,1,0,0,0.0,Matches
168,Andrea Seculin,it ITA,GK,Chievo,it Serie A,28,1990,2,1,90,1.0,7,7.00,12,5,41.7,0,0,1,0,0.0,0,0,0,0,,Matches
169,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,26,1992,37,37,"3,330",37.0,48,1.30,148,99,72.3,10,16,11,8,21.6,9,7,2,0,22.2,Matches
170,Adrian Šemper,hr CRO,GK,Chievo,it Serie A,20,1998,6,6,540,6.0,8,1.33,32,24,75.0,1,3,2,2,33.3,0,0,0,0,,Matches
171,Luigi Sepe,it ITA,GK,Parma,it Serie A,27,1991,37,37,"3,330",37.0,59,1.59,197,142,74.1,10,11,16,10,27.0,8,8,0,0,0.0,Matches
172,Unai Simón,es ESP,GK,Athletic Club,es La Liga,21,1997,7,7,630,7.0,13,1.86,33,20,66.7,1,4,2,0,0.0,2,2,0,0,0.0,Matches
173,Salvatore Sirigu,it ITA,GK,Torino,it Serie A,31,1987,36,36,"3,170",35.2,35,0.99,136,99,75.7,15,14,7,14,38.9,4,2,2,0,50.0,Matches
174,Antonio Sivera,es ESP,GK,Alavés,es La Liga,21,1996,3,3,270,3.0,4,1.33,13,9,69.2,2,0,1,0,0.0,0,0,0,0,,Matches
175,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,27,1991,38,38,"3,420",38.0,56,1.47,173,118,69.9,11,11,16,10,26.3,4,4,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
176,Yann Sommer,ch SUI,GK,Gladbach,de Bundesliga,29,1988,34,34,"3,060",34.0,42,1.24,156,114,75.0,16,7,11,13,38.2,3,3,0,0,0.0,Matches
177,David Soria,es ESP,GK,Getafe,es La Liga,25,1993,37,37,"3,330",37.0,34,0.92,133,99,77.4,14,14,9,13,35.1,6,4,1,1,20.0,Matches
178,Juan Soriano,es ESP,GK,Sevilla,es La Liga,20,1997,4,4,359,4.0,2,0.50,11,9,90.9,4,0,0,2,50.0,1,1,0,0,0.0,Matches
179,Stefano Sorrentino,it ITA,GK,Chievo,it Serie A,39,1979,31,31,"2,790",31.0,60,1.94,167,107,65.3,1,11,19,5,16.1,4,2,2,0,50.0,Matches
180,Julián Speroni,ar ARG,GK,Crystal Palace,eng Premier League,39,1979,1,1,90,1.0,4,4.00,9,5,55.6,0,0,1,0,0.0,0,0,0,0,,Matches
181,Marco Sportiello,it ITA,GK,Frosinone,it Serie A,26,1992,35,35,"3,150",35.0,64,1.83,201,138,70.6,5,9,21,8,22.9,5,5,0,0,0.0,Matches
182,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,23,1995,35,35,"3,150",35.0,39,1.11,132,95,74.2,16,7,12,10,28.6,6,5,1,0,16.7,Matches
183,Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,33,1984,14,14,"1,138",12.6,12,0.95,39,26,74.4,4,5,5,4,28.6,3,2,1,0,33.3,Matches
184,Seydou Sy,sn SEN,GK,Monaco,fr Ligue 1,22,1995,3,2,225,2.5,7,2.80,12,6,41.7,0,1,1,0,0.0,0,0,0,0,,Matches
185,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,28,1990,28,28,"2,520",28.0,20,0.71,81,61,76.5,22,5,1,11,39.3,3,1,1,1,50.0,Matches
186,Ciprian Tătărușanu,ro ROU,GK,Nantes,fr Ligue 1,32,1986,27,27,"2,391",26.6,30,1.13,95,62,69.5,8,6,13,7,25.9,4,1,3,0,75.0,Matches
187,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,26,1992,35,35,"3,150",35.0,32,0.91,116,85,73.3,25,8,2,16,45.7,1,1,0,0,0.0,Matches
188,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,28,1990,2,2,180,2.0,3,1.50,11,8,72.7,0,1,1,0,0.0,0,0,0,0,,Matches
189,Pietro Terracciano,it ITA,GK,Empoli,it Serie A,28,1990,8,8,720,8.0,10,1.25,35,26,71.4,1,2,5,2,25.0,0,0,0,0,,Matches
190,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,28,1990,33,33,"2,938",32.6,48,1.47,158,111,70.3,14,9,10,8,24.2,1,1,0,0,0.0,Matches
191,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,19,1999,2,2,180,2.0,5,2.50,13,9,61.5,1,0,1,1,50.0,0,0,0,0,,Matches
192,Philipp Tschauner,de GER,GK,Hannover 96,de Bundesliga,32,1985,1,1,90,1.0,3,3.00,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0,Matches
193,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,29,1988,9,8,757,8.4,9,1.07,23,14,69.6,4,3,1,2,25.0,3,2,0,1,0.0,Matches
194,Tomáš Vaclík,cz CZE,GK,Sevilla,es La Liga,29,1989,33,33,"2,970",33.0,44,1.33,143,98,72.0,13,8,12,8,24.2,5,4,1,0,20.0,Matches
195,Koke Vegas,es ESP,GK,Levante,es La Liga,22,1995,1,1,90,1.0,2,2.00,8,6,75.0,0,1,0,0,0.0,0,0,0,0,,Matches
196,Emiliano Viviano,it ITA,GK,SPAL,it Serie A,32,1985,17,17,"1,525",16.9,25,1.48,84,59,75.0,7,3,7,3,17.6,4,4,0,0,0.0,Matches
197,Michel Vorm,nl NED,GK,Tottenham,eng Premier League,34,1983,2,2,180,2.0,4,2.00,13,9,69.2,0,0,2,0,0.0,0,0,0,0,,Matches
198,Axel Werner,ar ARG,GK,Huesca,es La Liga,22,1996,6,6,540,6.0,16,2.67,32,17,53.1,1,1,4,0,0.0,1,1,0,0,0.0,Matches
199,Yoel,es ESP,GK,Valladolid,es La Liga,29,1988,3,3,270,3.0,6,2.00,12,6,58.3,0,2,1,0,0.0,1,1,0,0,0.0,Matches
200,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,23,1994,10,10,900,10.0,14,1.40,49,35,71.4,4,4,2,2,20.0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
201,Luca Zidane,fr FRA,GK,Real Madrid,es La Liga,20,1998,1,1,90,1.0,2,2.00,3,1,33.3,1,0,0,0,0.0,0,0,0,0,,Matches
202,Ron-Robert Zieler,de GER,GK,Stuttgart,de Bundesliga,29,1989,34,34,"3,060",34.0,70,2.06,179,113,62.0,7,7,20,6,17.6,3,2,0,1,0.0,Matches
1,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,1,0,25,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches
2,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,11,9,875,9.7,10,1.03,27,17,63.0,9,0,0,2,22.2,0,0,0,0,,Matches
3,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,11,9,900,10.0,17,1.70,47,31,63.8,1,2,6,0,0.0,0,0,0,0,,Matches
4,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,4,4,279,3.1,4,1.29,11,7,63.6,1,0,3,1,25.0,0,0,0,0,,Matches
5,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,29,29,"2,543",28.3,23,0.81,80,58,72.5,23,3,3,13,44.8,1,1,0,0,0.0,Matches
6,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,4,4,180,2.0,1,0.50,3,2,66.7,1,1,0,1,25.0,0,0,0,0,,Matches
7,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,6,5,531,5.9,16,2.71,44,28,63.6,0,1,4,0,0.0,1,0,0,1,,Matches
8,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,13,"1,170",13.0,16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,1,,Matches
9,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,4,360,4.0,5,1.25,14,9,78.6,3,1,0,1,25.0,2,2,0,0,0.0,Matches
10,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3,3,270,3.0,2,0.67,3,1,33.3,2,0,1,2,66.7,0,0,0,0,,Matches
11,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33,33,"2,970",33.0,47,1.42,99,54,54.5,18,4,11,8,24.2,2,2,0,0,0.0,Matches
12,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34,34,"3,060",34.0,41,1.21,145,104,75.2,17,4,13,11,32.4,6,5,1,0,16.7,Matches
13,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36,36,"3,240",36.0,60,1.67,165,109,67.9,12,5,19,9,25.0,8,7,0,1,0.0,Matches
14,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
15,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,29,1990,30,30,"2,700",30.0,49,1.63,146,97,69.9,13,7,10,7,23.3,7,5,2,0,28.6,Matches
16,Asmir Begović,ba BIH,GK,Milan,it Serie A,32,1987,2,1,129,1.4,3,2.09,7,4,71.4,0,0,1,0,0.0,1,1,0,0,0.0,Matches
17,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,26,1993,26,26,"2,340",26.0,36,1.38,130,95,75.4,9,8,9,4,15.4,6,4,1,1,20.0,Matches
18,Etrit Berisha,al ALB,GK,SPAL,it Serie A,30,1989,26,26,"2,340",26.0,44,1.69,147,105,74.1,5,3,18,3,11.5,6,6,0,0,0.0,Matches
19,Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,22,1997,25,25,"2,204",24.5,38,1.55,108,71,68.5,7,4,14,6,24.0,4,4,0,0,0.0,Matches
20,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,21,1998,3,3,196,2.2,3,1.38,5,2,40.0,0,0,3,0,0.0,0,0,0,0,,Matches
21,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,24,1995,33,33,"2,960",32.9,43,1.31,135,92,71.9,6,14,13,10,30.3,5,5,0,0,0.0,Matches
22,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,28,1991,6,5,495,5.5,3,0.55,20,17,90.0,4,1,0,4,80.0,1,1,0,0,0.0,Matches
23,Federico Brancolini,it ITA,GK,Fiorentina,it Serie A,18,2001,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
24,Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,36,1983,4,3,347,3.9,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,0,,Matches
25,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,41,1978,9,9,810,9.0,10,1.11,33,23,72.7,7,1,1,1,11.1,2,1,0,1,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,28,1990,31,31,"2,770",30.8,40,1.30,95,58,61.1,19,5,7,12,38.7,3,3,0,0,0.0,Matches
27,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,36,1983,26,26,"2,340",26.0,32,1.23,83,51,65.1,10,6,10,11,42.3,3,3,0,0,0.0,Matches
28,Marcin Bułka,pl POL,GK,Paris S-G,fr Ligue 1,19,1999,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
29,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,37,1981,5,5,450,5.0,7,1.40,16,10,56.3,2,2,1,1,20.0,0,0,0,0,,Matches
30,Matis Carvalho,pt POR,GK,Montpellier,fr Ligue 1,20,1999,1,0,71,0.8,4,5.07,8,5,50.0,0,0,0,0,,0,0,0,0,,Matches
31,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,27,1992,26,26,"2,340",26.0,38,1.46,105,67,67.6,11,6,9,5,19.2,4,4,0,0,0.0,Matches
32,Churripi,es ESP,GK,Valladolid,es La Liga,25,1994,3,3,244,2.7,3,1.11,13,10,76.9,1,0,2,1,33.3,0,0,0,0,,Matches
33,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,30,1989,24,24,"2,096",23.3,30,1.29,109,78,78.0,10,7,7,5,20.8,8,6,2,0,25.0,Matches
34,Yannis Clementia,mq MTQ,GK,Nice,fr Ligue 1,22,1997,2,2,180,2.0,2,1.00,7,5,85.7,2,0,0,0,0.0,1,1,0,0,0.0,Matches
35,Simone Colombi,it ITA,GK,Parma,it Serie A,28,1991,4,4,360,4.0,4,1.00,19,15,84.2,1,1,2,1,25.0,2,1,0,1,0.0,Matches
36,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,32,1987,31,31,"2,790",31.0,55,1.77,145,92,66.9,12,5,14,5,16.1,8,7,1,0,12.5,Matches
37,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,35,1983,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
38,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28,28,"2,520",28.0,34,1.21,108,74,70.4,9,10,9,6,21.4,3,2,1,0,33.3,Matches
39,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34,34,"3,060",34.0,20,0.59,96,76,79.2,23,8,3,18,52.9,0,0,0,0,,Matches
40,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,16,16,"1,440",16.0,21,1.31,89,68,77.5,2,6,8,3,18.8,2,1,1,0,50.0,Matches
41,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,35,1984,27,27,"2,429",27.0,33,1.22,99,65,67.7,7,9,11,7,25.9,2,1,1,0,50.0,Matches
42,Paul Delecroix,fr FRA,GK,Metz,fr Ligue 1,30,1988,2,1,135,1.5,4,2.67,6,2,50.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
43,Lucas Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,4,3,316,3.5,6,1.71,19,13,68.4,0,2,1,1,33.3,0,0,0,0,,Matches
44,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,27,1992,35,35,"3,150",35.0,51,1.46,122,71,61.5,9,9,17,10,28.6,5,4,1,0,20.0,Matches
45,Jaume Doménech,es ESP,GK,Valencia,es La Liga,28,1990,15,14,"1,324",14.7,23,1.56,81,58,72.8,4,4,6,3,21.4,1,1,0,0,0.0,Matches
46,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,20,1999,36,36,"3,201",35.6,42,1.18,141,96,73.0,18,9,9,12,33.3,8,4,4,0,50.0,Matches
47,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,21,1997,31,31,"2,790",31.0,43,1.39,139,94,73.4,7,12,12,8,25.8,8,6,2,0,25.0,Matches
48,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,30,1989,38,38,"3,420",38.0,58,1.53,195,139,71.3,11,11,16,11,28.9,2,2,0,0,0.0,Matches
49,Ederson,br BRA,GK,Manchester City,eng Premier League,25,1993,35,35,"3,071",34.1,28,0.82,95,68,73.7,24,3,8,16,45.7,3,3,0,0,0.0,Matches
50,Aarón Escandell,es ESP,GK,Granada,es La Liga,23,1995,3,3,270,3.0,3,1.00,14,11,78.6,1,0,2,1,33.3,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
51,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,34,1985,25,25,"2,117",23.5,34,1.45,104,71,70.2,8,7,10,5,20.0,4,3,1,0,25.0,Matches
52,Fabricio,es ESP,GK,Mallorca,es La Liga,31,1987,2,2,90,1.0,3,3.00,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0,Matches
53,Ralf Fährmann,de GER,GK,Norwich City,eng Premier League,30,1988,1,1,21,0.2,1,4.29,2,1,100.0,,,1,,,,1,,,,Matches
54,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,24,1995,2,2,180,2.0,5,2.50,13,8,69.2,0,1,1,0,0.0,1,1,0,0,0.0,Matches
55,Aitor Fernández,es ESP,GK,Levante,es La Liga,28,1991,36,36,"3,240",36.0,51,1.42,205,153,76.6,12,7,17,5,13.9,5,3,2,0,40.0,Matches
56,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,32,1986,4,4,360,4.0,8,2.00,19,12,73.7,1,2,1,1,25.0,3,3,0,0,0.0,Matches
57,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,26,1993,10,10,900,10.0,14,1.40,69,55,79.7,4,3,3,3,30.0,1,0,0,1,,Matches
58,Ben Foster,eng ENG,GK,Watford,eng Premier League,36,1983,38,38,"3,420",38.0,64,1.68,178,116,68.5,8,10,20,9,23.7,9,8,1,0,11.1,Matches
59,Daniel Fuzato,br BRA,GK,Roma,it Serie A,22,1997,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
60,Gabriel,br BRA,GK,Lecce,it Serie A,26,1992,34,34,"2,997",33.3,76,2.28,227,152,70.9,6,8,20,2,5.9,12,10,2,0,16.7,Matches
61,Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,27,1992,18,17,"1,613",17.9,26,1.45,82,56,72.0,5,5,7,2,11.8,4,3,1,0,25.0,Matches
62,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,28,1990,38,38,"3,420",38.0,36,0.95,131,96,74.8,18,12,8,13,34.2,3,3,0,0,0.0,Matches
63,Rafał Gikiewicz,pl POL,GK,Union Berlin,de Bundesliga,31,1987,33,33,"2,970",33.0,54,1.64,159,105,67.9,12,5,16,8,24.2,4,3,1,0,25.0,Matches
64,Mauro Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,31,1988,2,2,180,2.0,5,2.50,13,8,61.5,0,0,2,0,0.0,0,0,0,0,,Matches
65,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,24,1995,33,33,"2,884",32.0,42,1.31,120,81,70.0,19,9,5,8,24.2,6,6,0,0,0.0,Matches
66,Alfred Gomis,sn SEN,GK,Dijon,fr Ligue 1,25,1993,19,19,"1,620",18.0,20,1.11,81,62,76.5,6,7,6,6,31.6,1,1,0,0,0.0,Matches
67,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,32,1987,35,35,"3,150",35.0,42,1.20,149,109,71.8,11,9,15,10,28.6,1,0,0,1,,Matches
68,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,29,1990,32,32,"2,880",32.0,34,1.06,116,82,72.4,16,12,4,10,31.3,2,2,0,0,0.0,Matches
69,Angus Gunn,sct SCO,GK,Southampton,eng Premier League,23,1996,10,10,900,10.0,25,2.50,55,30,58.2,2,2,6,2,20.0,2,2,0,0,0.0,Matches
70,Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,32,1986,28,28,"2,520",28.0,50,1.79,142,93,65.5,4,11,13,5,17.9,1,1,0,0,0.0,Matches
71,Samir Handanović,si SVN,GK,Inter,it Serie A,35,1984,35,35,"3,150",35.0,32,0.91,110,78,72.7,22,10,3,13,37.1,3,2,1,0,33.3,Matches
72,Tom Heaton,eng ENG,GK,Aston Villa,eng Premier League,33,1986,20,20,"1,794",19.9,35,1.76,102,68,68.6,6,3,11,4,20.0,3,3,0,0,0.0,Matches
73,Dean Henderson,eng ENG,GK,Sheffield Utd,eng Premier League,22,1997,36,36,"3,240",36.0,33,0.92,128,94,75.0,14,11,11,13,36.1,3,1,1,1,50.0,Matches
74,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,32,1987,3,3,270,3.0,8,2.67,23,15,65.2,0,1,2,0,0.0,0,0,0,0,,Matches
75,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,26,1993,19,18,"1,655",18.4,27,1.47,80,53,67.5,7,3,8,7,38.9,1,1,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
76,Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,31,1988,5,4,425,4.7,9,1.91,19,10,52.6,0,3,1,0,0.0,0,0,0,0,,Matches
77,Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,31,1987,4,3,290,3.2,1,0.31,7,6,85.7,2,1,0,3,100.0,0,0,0,0,,Matches
78,Timo Horn,de GER,GK,Köln,de Bundesliga,26,1993,34,34,"3,060",34.0,69,2.03,156,87,58.3,10,6,18,6,17.6,6,4,2,0,33.3,Matches
79,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,29,1989,34,34,"3,060",34.0,44,1.29,143,99,70.6,19,6,9,10,29.4,2,2,0,0,0.0,Matches
80,Jannik Huth,de GER,GK,Paderborn 07,de Bundesliga,25,1994,6,6,540,6.0,17,2.83,33,16,51.5,0,1,5,0,0.0,1,1,0,0,0.0,Matches
