,,,,,,Rk,Player,Nation,Position,Squad,Competition,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage
81,Joe Hart,eng ENG,GK,Burnley,eng Premier League,31,1987,19,19,"1,710",19.0,41,2.16,116,75,65.5,3,3,13,4,21.1,2,1,1,0,50.0,Matches
82,Tom Heaton,eng ENG,GK,Burnley,eng Premier League,32,1986,19,19,"1,710",19.0,27,1.42,83,59,68.7,8,4,7,4,21.1,1,1,0,0,0.0,Matches
83,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,31,1987,18,17,"1,575",17.5,26,1.49,69,42,66.7,4,3,10,5,29.4,4,3,1,0,25.0,Matches
84,Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,30,1988,31,31,"2,790",31.0,32,1.03,87,55,66.7,12,10,9,10,32.3,3,3,0,0,0.0,Matches
85,Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,30,1987,2,2,180,2.0,4,2.00,6,2,33.3,2,0,0,0,0.0,1,0,0,1,,Matches
86,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,28,1989,32,32,"2,880",32.0,47,1.47,127,81,65.4,18,4,10,9,28.1,4,3,1,0,25.0,Matches
87,Salvador Ichazo,uy URU,GK,Torino,it Serie A,26,1992,3,2,250,2.8,2,0.72,9,7,88.9,1,1,0,1,50.0,1,1,0,0,0.0,Matches
88,Gorka Iraizoz,es ESP,GK,Girona,es La Liga,37,1981,7,6,558,6.2,10,1.61,39,30,79.5,1,0,5,1,16.7,2,2,0,0,0.0,Matches
89,Jandrei,br BRA,GK,Genoa,it Serie A,25,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
90,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,33,1984,31,31,"2,745",30.5,48,1.57,143,96,67.8,9,10,12,8,25.8,4,2,1,1,33.3,Matches
91,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,28,1990,17,17,"1,530",17.0,34,2.00,78,43,59.0,1,5,11,4,23.5,4,2,1,1,33.3,Matches
92,Aleksandar Jovanović,rs SRB,GK,Huesca,es La Liga,25,1992,12,12,"1,080",12.0,19,1.58,46,28,63.0,1,4,7,0,0.0,2,2,0,0,0.0,Matches
93,Stefanos Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,24,1994,1,0,45,0.5,1,2.00,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches
94,Orestis Karnezis,gr GRE,GK,Napoli,it Serie A,33,1985,9,9,810,9.0,7,0.78,27,20,77.8,6,2,1,4,44.4,1,1,0,0,0.0,Matches
95,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,35,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
96,Gregor Kobel,ch SUI,GK,Hoffenheim,de Bundesliga,20,1997,1,1,90,1.0,1,1.00,7,6,100.0,1,0,0,0,0.0,1,1,0,0,0.0,Matches
97,Gregor Kobel,ch SUI,GK,Augsburg,de Bundesliga,20,1997,16,16,"1,390",15.4,42,2.72,93,51,55.9,4,2,10,3,18.8,2,1,1,0,50.0,Matches
98,Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,25,1992,33,32,"2,925",32.5,48,1.48,138,90,67.4,10,11,11,9,28.1,4,3,1,0,25.0,Matches
99,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,30,1988,4,3,315,3.5,9,2.57,16,7,56.3,2,0,1,1,33.3,2,2,0,0,0.0,Matches
100,Alban Lafont,fr FRA,GK,Fiorentina,it Serie A,19,1999,34,34,"3,015",33.5,40,1.19,128,90,72.7,8,15,11,8,23.5,6,5,1,0,16.7,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
101,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,27,1991,37,37,"3,330",37.0,42,1.14,143,102,72.7,15,13,9,11,29.7,5,3,1,1,25.0,Matches
102,Bernd Leno,de GER,GK,Arsenal,eng Premier League,26,1992,32,31,"2,835",31.5,42,1.33,145,104,75.9,16,7,8,7,22.6,7,7,0,0,0.0,Matches
103,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,31,1986,33,33,"2,970",33.0,33,1.00,130,98,76.9,21,2,10,12,36.4,5,3,2,0,40.0,Matches
104,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,27,1990,34,34,"3,060",34.0,42,1.24,134,95,72.4,18,9,7,9,26.5,5,5,0,0,0.0,Matches
105,Diego López,es ESP,GK,Espanyol,es La Liga,36,1981,38,38,"3,420",38.0,50,1.32,167,117,73.7,14,11,13,10,26.3,8,6,2,0,25.0,Matches
106,Pau López,es ESP,GK,Betis,es La Liga,23,1994,33,33,"2,970",33.0,47,1.42,134,86,67.2,12,7,14,10,30.3,4,3,1,0,25.0,Matches
107,Jonas Lössl,dk DEN,GK,Huddersfield,eng Premier League,29,1989,31,30,"2,777",30.9,54,1.75,141,86,64.5,3,5,22,5,16.7,5,4,1,0,20.0,Matches
108,Andriy Lunin,ua UKR,GK,Leganés,es La Liga,19,1999,5,4,364,4.1,5,1.24,19,13,78.9,1,0,3,2,50.0,2,1,1,0,50.0,Matches
109,Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,31,1987,15,14,"1,310",14.6,22,1.51,78,57,71.8,3,5,6,2,14.3,0,0,0,0,,Matches
110,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,23,1995,38,38,"3,420",38.0,33,0.87,125,90,78.4,22,9,7,15,39.5,10,6,2,2,25.0,Matches
111,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,33,1985,31,31,"2,736",30.4,40,1.32,113,72,69.9,14,5,12,9,29.0,7,6,1,0,14.3,Matches
112,Federico Marchetti,it ITA,GK,Genoa,it Serie A,35,1983,4,4,360,4.0,10,2.50,18,9,44.4,2,0,2,1,25.0,0,0,0,0,,Matches
113,Jordi Masip,es ESP,GK,Valladolid,es La Liga,29,1989,35,35,"3,150",35.0,45,1.29,143,96,72.0,10,9,16,9,25.7,8,5,3,0,37.5,Matches
114,Christian Mathenia,de GER,GK,Nürnberg,de Bundesliga,26,1992,22,22,"1,933",21.5,40,1.86,118,80,67.8,1,7,14,2,9.1,2,2,0,0,0.0,Matches
115,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,28,1989,25,25,"2,250",25.0,44,1.76,119,78,64.7,5,8,12,4,16.0,2,2,0,0,0.0,Matches
116,Edouard Mendy,sn SEN,GK,Reims,fr Ligue 1,26,1992,38,38,"3,420",38.0,42,1.11,150,110,76.7,13,16,9,14,36.8,7,7,0,0,0.0,Matches
117,Alex Meret,it ITA,GK,Napoli,it Serie A,21,1997,14,13,"1,150",12.8,9,0.70,48,39,85.4,9,1,3,5,38.5,2,2,0,0,0.0,Matches
118,Vanja Milinković-Savić,rs SRB,GK,SPAL,it Serie A,21,1997,2,2,164,1.8,4,2.20,16,12,75.0,1,0,1,0,0.0,0,0,0,0,,Matches
119,Antonio Mirante,it ITA,GK,Roma,it Serie A,35,1983,11,11,990,11.0,6,0.55,38,31,84.2,6,4,1,6,54.5,1,0,1,0,100.0,Matches
120,Jessy Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,32,1986,1,1,90,1.0,1,1.00,5,5,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
121,Florian Müller,de GER,GK,Mainz 05,de Bundesliga,20,1997,24,24,"2,160",24.0,43,1.79,124,81,67.7,8,3,13,5,20.8,4,3,0,1,0.0,Matches
122,Juan Musso,ar ARG,GK,Udinese,it Serie A,24,1994,29,29,"2,610",29.0,40,1.38,144,105,77.8,9,8,12,7,24.1,8,8,0,0,0.0,Matches
123,Yvon Mvogo,ch SUI,GK,RB Leipzig,de Bundesliga,24,1994,2,1,135,1.5,2,1.33,4,2,75.0,0,0,1,1,100.0,1,1,0,0,0.0,Matches
124,Keylor Navas,cr CRC,GK,Real Madrid,es La Liga,31,1986,10,10,900,10.0,8,0.80,31,23,74.2,6,2,2,4,40.0,0,0,0,0,,Matches
125,Neto,br BRA,GK,Valencia,es La Liga,29,1989,34,34,"3,060",34.0,34,1.00,139,106,80.6,13,14,7,10,29.4,8,7,1,0,12.5,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
126,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,32,1986,26,26,"2,303",25.6,23,0.90,56,34,64.3,20,3,3,10,38.5,3,3,0,0,0.0,Matches
127,Will Norris,eng ENG,GK,Wolves,eng Premier League,24,1993,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,,Matches
128,Alexander Nübel,de GER,GK,Schalke 04,de Bundesliga,21,1996,18,18,"1,588",17.6,29,1.64,83,53,68.7,4,6,8,4,22.2,4,3,1,0,25.0,Matches
129,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,25,1993,37,37,"3,330",37.0,27,0.73,129,104,82.9,22,9,6,20,54.1,5,5,0,0,0.0,Matches
130,Oier Olazábal,es ESP,GK,Levante,es La Liga,28,1989,21,21,"1,890",21.0,40,1.90,135,95,73.3,7,5,9,5,23.8,5,4,1,0,20.0,Matches
131,Alexandre Olliero,fr FRA,GK,Nantes,fr Ligue 1,22,1996,1,1,90,1.0,1,1.00,1,0,100.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
