Rk,Squad,Comp,Num_of_Players,Weekly_Wages,Annual_Wages,Pct_Estimated,Season,Weekly_Wages_EUR,Weekly_Wages_GBP,Weekly_Wages_USD,Annual_Wages_EUR,Annual_Wages_GBP,Annual_Wages_USD
78,Osasuna,La Liga,43,"€ 339,519 (£ 292,092, $371,251)","€ 17,655,000 (£ 15,188,780, $19,305,048)",100%,2022-2023,339519.0,292092.0,371251.0,17655000.0,15188780.0,19305048.0
79,Cádiz,La Liga,55,"€ 335,385 (£ 288,535, $366,730)","€ 17,440,000 (£ 15,003,809, $19,069,955)",98%,2022-2023,335385.0,288535.0,366730.0,17440000.0,15003809.0,19069955.0
80,Girona,La Liga,50,"€ 332,981 (£ 286,467, $364,101)","€ 17,315,000 (£ 14,896,274, $18,933,270)",96%,2022-2023,332981.0,286467.0,364101.0,17315000.0,14896274.0,18933270.0
81,Elche,La Liga,48,"€ 325,288 (£ 279,849, $355,690)","€ 16,915,000 (£ 14,552,148, $18,495,887)",93%,2022-2023,325288.0,279849.0,355690.0,16915000.0,14552148.0,18495887.0
82,Troyes,Ligue 1,55,"€ 322,500 (£ 277,450, $352,641)","€ 16,770,000 (£ 14,427,406, $18,337,331)",56%,2022-2023,322500.0,277450.0,352641.0,16770000.0,14427406.0,18337331.0
83,Lecce,Serie A,87,"€ 317,808 (£ 273,413, $347,510)","€ 16,526,000 (£ 14,217,491, $18,070,531)",39%,2022-2023,317808.0,273413.0,347510.0,16526000.0,14217491.0,18070531.0
84,Stuttgart,Bundesliga,54,"€ 309,615 (£ 266,365, $338,552)","€ 16,100,000 (£ 13,850,995, $17,604,715)",94%,2022-2023,309615.0,266365.0,338552.0,16100000.0,13850995.0,17604715.0
85,Bochum,Bundesliga,56,"€ 301,923 (£ 259,748, $330,141)","€ 15,700,000 (£ 13,506,876, $17,167,333)",98%,2022-2023,301923.0,259748.0,330141.0,15700000.0,13506876.0,17167333.0
86,Angers,Ligue 1,60,"€ 298,846 (£ 257,100, $326,777)","€ 15,540,000 (£ 13,369,224, $16,992,378)",89%,2022-2023,298846.0,257100.0,326777.0,15540000.0,13369224.0,16992378.0
87,Montpellier,Ligue 1,56,"€ 283,077 (£ 243,534, $309,533)","€ 14,720,000 (£ 12,663,770, $16,095,738)",93%,2022-2023,283077.0,243534.0,309533.0,14720000.0,12663770.0,16095738.0
88,Almería,La Liga,55,"€ 268,558 (£ 231,043, $293,657)","€ 13,965,000 (£ 12,014,235, $15,270,179)",100%,2022-2023,268558.0,231043.0,293657.0,13965000.0,12014235.0,15270179.0
89,Strasbourg,Ligue 1,51,"€ 262,308 (£ 225,666, $286,823)","€ 13,640,000 (£ 11,734,633, $14,914,801)",71%,2022-2023,262308.0,225666.0,286823.0,13640000.0,11734633.0,14914801.0
90,Rayo Vallecano,La Liga,51,"€ 243,462 (£ 209,453, $266,216)","€ 12,660,000 (£ 10,891,530, $13,843,212)",84%,2022-2023,243462.0,209453.0,266216.0,12660000.0,10891530.0,13843212.0
91,Reims,Ligue 1,47,"€ 242,500 (£ 208,625, $265,164)","€ 12,610,000 (£ 10,848,510, $13,788,538)",51%,2022-2023,242500.0,208625.0,265164.0,12610000.0,10848510.0,13788538.0
92,Brest,Ligue 1,50,"€ 219,423 (£ 188,772, $239,931)","€ 11,410,000 (£ 9,816,144, $12,476,387)",66%,2022-2023,219423.0,188772.0,239931.0,11410000.0,9816144.0,12476387.0
93,Lens,Ligue 1,55,"€ 215,385 (£ 185,298, $235,515)","€ 11,200,000 (£ 9,635,475, $12,246,760)",100%,2022-2023,215385.0,185298.0,235515.0,11200000.0,9635475.0,12246760.0
94,Auxerre,Ligue 1,62,"€ 203,462 (£ 175,040, $222,477)","€ 10,580,000 (£ 9,102,086, $11,568,813)",93%,2022-2023,203462.0,175040.0,222477.0,10580000.0,9102086.0,11568813.0
95,Lorient,Ligue 1,49,"€ 164,615 (£ 141,620, $180,000)","€ 8,560,000 (£ 7,364,257, $9,360,025)",98%,2022-2023,164615.0,141620.0,180000.0,8560000.0,7364257.0,9360025.0
96,Toulouse,Ligue 1,47,"€ 153,077 (£ 131,694, $167,384)","€ 7,960,000 (£ 6,848,069, $8,703,946)",90%,2022-2023,153077.0,131694.0,167384.0,7960000.0,6848069.0,8703946.0
97,Clermont Foot,Ligue 1,48,"€ 134,038 (£ 115,315, $146,566)","€ 6,970,000 (£ 5,996,361, $7,621,419)",100%,2022-2023,134038.0,115315.0,146566.0,6970000.0,5996361.0,7621419.0
98,Ajaccio,Ligue 1,61,"€ 124,615 (£ 107,208, $136,262)","€ 6,480,000 (£ 5,574,810, $7,085,621)",98%,2022-2023,124615.0,107208.0,136262.0,6480000.0,5574810.0,7085621.0
1,Paris S-G,Ligue 1,56,"€ 5,638,269 (£ 4,763,374, $6,059,136)","€ 293,190,000 (£ 247,695,438, $315,075,078)",25%,2023-2024,5638269.0,4763374.0,6059136.0,293190000.0,247695438.0,315075078.0
2,Real Madrid,La Liga,47,"€ 5,491,731 (£ 4,639,574, $5,901,659)","€ 285,570,000 (£ 241,257,843, $306,886,288)",35%,2023-2024,5491731.0,4639574.0,5901659.0,285570000.0,241257843.0,306886288.0
3,Bayern Munich,Bundesliga,48,"€ 4,948,462 (£ 4,180,604, $5,317,838)","€ 257,320,000 (£ 217,391,419, $276,527,574)",19%,2023-2024,4948462.0,4180604.0,5317838.0,257320000.0,217391419.0,276527574.0
4,Manchester Utd,Premier League,57,"€ 4,683,665 (£ 3,956,846, $5,033,261)","€ 243,550,559 (£ 205,756,000, $261,729,552)",24%,2023-2024,4683665.0,3956846.0,5033261.0,243550559.0,205756000.0,261729552.0
5,Manchester City,Premier League,48,"€ 4,576,131 (£ 3,866,000, $4,917,701)","€ 237,958,824 (£ 201,032,000, $255,720,441)",36%,2023-2024,4576131.0,3866000.0,4917701.0,237958824.0,201032000.0,255720441.0
6,Barcelona,La Liga,50,"€ 4,064,231 (£ 3,433,580, $4,367,604)","€ 211,340,000 (£ 178,546,180, $227,115,409)",20%,2023-2024,4064231.0,3433580.0,4367604.0,211340000.0,178546180.0,227115409.0
7,Arsenal,Premier League,52,"€ 3,779,510 (£ 3,193,000, $4,061,619)","€ 196,534,543 (£ 166,036,000, $211,204,180)",12%,2023-2024,3779510.0,3193000.0,4061619.0,196534543.0,166036000.0,211204180.0
8,Chelsea,Premier League,60,"€ 3,574,733 (£ 3,020,000, $3,841,556)","€ 185,886,099 (£ 157,040,000, $199,760,922)",51%,2023-2024,3574733.0,3020000.0,3841556.0,185886099.0,157040000.0,199760922.0
9,Atlético Madrid,La Liga,51,"€ 3,286,346 (£ 2,776,401, $3,531,654)","€ 170,890,000 (£ 144,372,842, $183,646,029)",47%,2023-2024,3286346.0,2776401.0,3531654.0,170890000.0,144372842.0,183646029.0
10,Liverpool,Premier League,49,"€ 3,101,258 (£ 2,620,000, $3,332,741)","€ 161,265,423 (£ 136,240,000, $173,302,521)",43%,2023-2024,3101258.0,2620000.0,3332741.0,161265423.0,136240000.0,173302521.0
11,Tottenham,Premier League,61,"€ 2,675,131 (£ 2,260,000, $2,874,807)","€ 139,106,817 (£ 117,520,000, $149,489,960)",38%,2023-2024,2675131.0,2260000.0,2874807.0,139106817.0,117520000.0,149489960.0
12,Aston Villa,Premier League,52,"€ 2,666,709 (£ 2,252,885, $2,865,756)","€ 138,668,852 (£ 117,150,000, $149,019,306)",47%,2023-2024,2666709.0,2252885.0,2865756.0,138668852.0,117150000.0,149019306.0
13,Dortmund,Bundesliga,57,"€ 2,434,615 (£ 2,056,834, $2,616,347)","€ 126,600,000 (£ 106,955,360, $136,050,018)",38%,2023-2024,2434615.0,2056834.0,2616347.0,126600000.0,106955360.0,136050018.0
14,Juventus,Serie A,58,"€ 2,338,308 (£ 1,975,470, $2,512,850)","€ 121,592,000 (£ 102,724,457, $130,668,197)",7%,2023-2024,2338308.0,1975470.0,2512850.0,121592000.0,102724457.0,130668197.0
15,Inter,Serie A,52,"€ 2,261,154 (£ 1,910,289, $2,429,937)","€ 117,580,000 (£ 99,335,003, $126,356,724)",4%,2023-2024,2261154.0,1910289.0,2429937.0,117580000.0,99335003.0,126356724.0
16,West Ham,Premier League,46,"€ 2,169,697 (£ 1,833,000, $2,331,647)","€ 112,824,244 (£ 95,316,000, $121,245,618)",29%,2023-2024,2169697.0,1833000.0,2331647.0,112824244.0,95316000.0,121245618.0
17,Roma,Serie A,56,"€ 2,007,692 (£ 1,696,157, $2,157,556)","€ 104,400,000 (£ 88,200,155, $112,192,908)",6%,2023-2024,2007692.0,1696157.0,2157556.0,104400000.0,88200155.0,112192908.0
18,RB Leipzig,Bundesliga,51,"€ 1,943,077 (£ 1,641,568, $2,088,117)","€ 101,040,000 (£ 85,361,532, $108,582,098)",67%,2023-2024,1943077.0,1641568.0,2088117.0,101040000.0,85361532.0,108582098.0
19,Newcastle Utd,Premier League,57,"€ 1,923,490 (£ 1,625,000, $2,067,063)","€ 100,021,494 (£ 84,500,000, $107,487,250)",36%,2023-2024,1923490.0,1625000.0,2067063.0,100021494.0,84500000.0,107487250.0
20,Everton,Premier League,46,"€ 1,797,792 (£ 1,518,808, $1,931,982)","€ 93,485,180 (£ 78,978,000, $100,463,054)",52%,2023-2024,1797792.0,1518808.0,1931982.0,93485180.0,78978000.0,100463054.0
21,Milan,Serie A,55,"€ 1,653,846 (£ 1,397,217, $1,777,297)","€ 86,000,000 (£ 72,655,299, $92,419,443)",4%,2023-2024,1653846.0,1397217.0,1777297.0,86000000.0,72655299.0,92419443.0
22,Nott'ham Forest,Premier League,72,"€ 1,640,088 (£ 1,385,577, $1,762,507)","€ 85,284,601 (£ 72,050,000, $91,650,371)",85%,2023-2024,1640088.0,1385577.0,1762507.0,85284601.0,72050000.0,91650371.0
23,Crystal Palace,Premier League,53,"€ 1,571,799 (£ 1,327,885, $1,689,120)","€ 81,733,540 (£ 69,050,000, $87,834,256)",63%,2023-2024,1571799.0,1327885.0,1689120.0,81733540.0,69050000.0,87834256.0
24,Fulham,Premier League,52,"€ 1,518,078 (£ 1,282,500, $1,631,389)","€ 78,940,040 (£ 66,690,000, $84,832,245)",69%,2023-2024,1518078.0,1282500.0,1631389.0,78940040.0,66690000.0,84832245.0
25,Sevilla,La Liga,55,"€ 1,496,346 (£ 1,264,157, $1,608,040)","€ 77,810,000 (£ 65,736,148, $83,618,104)",52%,2023-2024,1496346.0,1264157.0,1608040.0,77810000.0,65736148.0,83618104.0
26,Napoli,Serie A,51,"€ 1,451,346 (£ 1,226,139, $1,559,681)","€ 75,470,000 (£ 63,759,253, $81,103,436)",4%,2023-2024,1451346.0,1226139.0,1559681.0,75470000.0,63759253.0,81103436.0
27,Brighton,Premier League,52,"€ 1,420,424 (£ 1,200,000, $1,526,446)","€ 73,862,025 (£ 62,400,000, $79,375,200)",74%,2023-2024,1420424.0,1200000.0,1526446.0,73862025.0,62400000.0,79375200.0
28,Lazio,Serie A,54,"€ 1,415,962 (£ 1,196,246, $1,521,656)","€ 73,630,000 (£ 62,204,767, $79,126,089)",10%,2023-2024,1415962.0,1196246.0,1521656.0,73630000.0,62204767.0,79126089.0
29,Marseille,Ligue 1,49,"€ 1,359,423 (£ 1,148,480, $1,460,897)","€ 70,690,000 (£ 59,720,969, $75,966,634)",52%,2023-2024,1359423.0,1148480.0,1460897.0,70690000.0,59720969.0,75966634.0
30,Bournemouth,Premier League,60,"€ 1,248,197 (£ 1,054,500, $1,341,365)","€ 64,906,255 (£ 54,834,000, $69,750,957)",78%,2023-2024,1248197.0,1054500.0,1341365.0,64906255.0,54834000.0,69750957.0
31,Leverkusen,Bundesliga,49,"€ 1,237,885 (£ 1,045,801, $1,330,286)","€ 64,370,000 (£ 54,381,645, $69,174,879)",73%,2023-2024,1237885.0,1045801.0,1330286.0,64370000.0,54381645.0,69174879.0
32,Wolves,Premier League,49,"€ 1,225,115 (£ 1,035,000, $1,316,560)","€ 63,705,996 (£ 53,820,000, $68,461,110)",73%,2023-2024,1225115.0,1035000.0,1316560.0,63705996.0,53820000.0,68461110.0
33,Fiorentina,Serie A,56,"€ 1,142,115 (£ 964,892, $1,227,368)","€ 59,390,000 (£ 50,174,400, $63,823,149)",23%,2023-2024,1142115.0,964892.0,1227368.0,59390000.0,50174400.0,63823149.0
34,Monaco,Ligue 1,49,"€ 1,130,192 (£ 954,819, $1,214,555)","€ 58,770,000 (£ 49,650,604, $63,156,868)",81%,2023-2024,1130192.0,954819.0,1214555.0,58770000.0,49650604.0,63156868.0
35,Athletic Club,La Liga,47,"€ 1,113,654 (£ 940,847, $1,196,782)","€ 57,910,000 (£ 48,924,049, $62,232,674)",86%,2023-2024,1113654.0,940847.0,1196782.0,57910000.0,48924049.0,62232674.0
36,Wolfsburg,Bundesliga,56,"€ 1,054,423 (£ 890,807, $1,133,130)","€ 54,830,000 (£ 46,321,975, $58,922,769)",96%,2023-2024,1054423.0,890807.0,1133130.0,54830000.0,46321975.0,58922769.0
37,Gladbach,Bundesliga,60,"€ 990,000 (£ 836,381, $1,063,898)","€ 51,480,000 (£ 43,491,799, $55,322,707)",89%,2023-2024,990000.0,836381.0,1063898.0,51480000.0,43491799.0,55322707.0
38,Hoffenheim,Bundesliga,54,"€ 934,423 (£ 789,428, $1,004,173)","€ 48,590,000 (£ 41,050,242, $52,216,985)",100%,2023-2024,934423.0,789428.0,1004173.0,48590000.0,41050242.0,52216985.0
39,Lyon,Ligue 1,52,"€ 930,769 (£ 786,341, $1,000,246)","€ 48,400,000 (£ 40,889,728, $52,012,804)",54%,2023-2024,930769.0,786341.0,1000246.0,48400000.0,40889728.0,52012804.0
40,Real Sociedad,La Liga,49,"€ 926,538 (£ 782,767, $995,700)","€ 48,180,000 (£ 40,703,864, $51,776,379)",87%,2023-2024,926538.0,782767.0,995700.0,48180000.0,40703864.0,51776379.0
41,Brentford,Premier League,59,"€ 909,071 (£ 768,000, $976,926)","€ 47,271,698 (£ 39,936,000, $50,800,128)",93%,2023-2024,909071.0,768000.0,976926.0,47271698.0,39936000.0,50800128.0
42,Villarreal,La Liga,54,"€ 879,808 (£ 743,287, $945,481)","€ 45,750,000 (£ 38,650,932, $49,164,996)",79%,2023-2024,879808.0,743287.0,945481.0,45750000.0,38650932.0,49164996.0
43,Burnley,Premier League,63,"€ 876,520 (£ 740,500, $941,944)","€ 45,579,026 (£ 38,506,000, $48,981,113)",82%,2023-2024,876520.0,740500.0,941944.0,45579026.0,38506000.0,48981113.0
44,Atalanta,Serie A,51,"€ 874,231 (£ 738,576, $939,487)","€ 45,460,000 (£ 38,405,931, $48,853,347)",16%,2023-2024,874231.0,738576.0,939487.0,45460000.0,38405931.0,48853347.0
45,Betis,La Liga,53,"€ 871,538 (£ 736,301, $936,594)","€ 45,320,000 (£ 38,287,655, $48,702,898)",79%,2023-2024,871538.0,736301.0,936594.0,45320000.0,38287655.0,48702898.0
46,Valencia,La Liga,44,"€ 762,885 (£ 644,507, $819,830)","€ 39,670,000 (£ 33,514,370, $42,631,156)",89%,2023-2024,762885.0,644507.0,819830.0,39670000.0,33514370.0,42631156.0
47,Torino,Serie A,51,"€ 751,538 (£ 634,922, $807,637)","€ 39,080,000 (£ 33,015,921, $41,997,114)",23%,2023-2024,751538.0,634922.0,807637.0,39080000.0,33015921.0,41997114.0
48,Eint Frankfurt,Bundesliga,62,"€ 698,654 (£ 590,243, $750,805)","€ 36,330,000 (£ 30,692,640, $39,041,843)",71%,2023-2024,698654.0,590243.0,750805.0,36330000.0,30692640.0,39041843.0
49,Union Berlin,Bundesliga,53,"€ 673,462 (£ 568,960, $723,732)","€ 35,020,000 (£ 29,585,913, $37,634,058)",96%,2023-2024,673462.0,568960.0,723732.0,35020000.0,29585913.0,37634058.0
50,Sheffield Utd,Premier League,58,"€ 654,579 (£ 553,000, $703,437)","€ 34,038,085 (£ 28,756,000, $36,578,738)",59%,2023-2024,654579.0,553000.0,703437.0,34038085.0,28756000.0,36578738.0
51,Sassuolo,Serie A,54,"€ 648,077 (£ 547,514, $696,452)","€ 33,700,000 (£ 28,470,740, $36,215,528)",46%,2023-2024,648077.0,547514.0,696452.0,33700000.0,28470740.0,36215528.0
52,Rennes,Ligue 1,41,"€ 621,731 (£ 525,256, $668,140)","€ 32,330,000 (£ 27,313,323, $34,743,265)",85%,2023-2024,621731.0,525256.0,668140.0,32330000.0,27313323.0,34743265.0
53,Cagliari,Serie A,55,"€ 608,846 (£ 514,371, $654,293)","€ 31,660,000 (£ 26,747,290, $34,023,255)",49%,2023-2024,608846.0,514371.0,654293.0,31660000.0,26747290.0,34023255.0
54,Genoa,Serie A,55,"€ 595,577 (£ 503,161, $640,034)","€ 30,970,000 (£ 26,164,357, $33,281,744)",30%,2023-2024,595577.0,503161.0,640034.0,30970000.0,26164357.0,33281744.0
55,Bologna,Serie A,51,"€ 572,692 (£ 483,827, $615,441)","€ 29,780,000 (£ 25,159,012, $32,002,921)",34%,2023-2024,572692.0,483827.0,615441.0,29780000.0,25159012.0,32002921.0
56,Luton Town,Premier League,55,"€ 559,292 (£ 472,500, $601,038)","€ 29,083,174 (£ 24,570,000, $31,253,985)",89%,2023-2024,559292.0,472500.0,601038.0,29083174.0,24570000.0,31253985.0
57,Celta Vigo,La Liga,49,"€ 558,269 (£ 471,642, $599,941)","€ 29,030,000 (£ 24,525,387, $31,196,936)",87%,2023-2024,558269.0,471642.0,599941.0,29030000.0,24525387.0,31196936.0
58,Monza,Serie A,61,"€ 555,385 (£ 469,205, $596,841)","€ 28,880,000 (£ 24,398,665, $31,035,744)",69%,2023-2024,555385.0,469205.0,596841.0,28880000.0,24398665.0,31035744.0
59,Girona,La Liga,48,"€ 554,231 (£ 468,230, $595,601)","€ 28,820,000 (£ 24,347,975, $30,971,261)",95%,2023-2024,554231.0,468230.0,595601.0,28820000.0,24347975.0,30971261.0
60,Werder Bremen,Bundesliga,49,"€ 553,462 (£ 467,580, $594,775)","€ 28,780,000 (£ 24,314,181, $30,928,276)",82%,2023-2024,553462.0,467580.0,594775.0,28780000.0,24314181.0,30928276.0
61,Salernitana,Serie A,60,"€ 549,808 (£ 464,494, $590,848)","€ 28,590,000 (£ 24,153,664, $30,724,091)",51%,2023-2024,549808.0,464494.0,590848.0,28590000.0,24153664.0,30724091.0
62,Mainz 05,Bundesliga,53,"€ 548,846 (£ 463,681, $589,815)","€ 28,540,000 (£ 24,111,420, $30,670,360)",96%,2023-2024,548846.0,463681.0,589815.0,28540000.0,24111420.0,30670360.0
63,Getafe,La Liga,44,"€ 547,115 (£ 462,219, $587,955)","€ 28,450,000 (£ 24,035,385, $30,573,642)",95%,2023-2024,547115.0,462219.0,587955.0,28450000.0,24035385.0,30573642.0
64,Stuttgart,Bundesliga,54,"€ 540,000 (£ 456,208, $580,308)","€ 28,080,000 (£ 23,722,802, $30,176,024)",90%,2023-2024,540000.0,456208.0,580308.0,28080000.0,23722802.0,30176024.0
65,Udinese,Serie A,67,"€ 514,615 (£ 434,762, $553,029)","€ 26,760,000 (£ 22,607,627, $28,757,492)",77%,2023-2024,514615.0,434762.0,553029.0,26760000.0,22607627.0,28757492.0
66,Nantes,Ligue 1,55,"€ 488,462 (£ 412,666, $524,923)","€ 25,400,000 (£ 21,458,654, $27,295,971)",79%,2023-2024,488462.0,412666.0,524923.0,25400000.0,21458654.0,27295971.0
67,Lille,Ligue 1,45,"€ 486,346 (£ 410,879, $522,649)","€ 25,290,000 (£ 21,365,727, $27,177,765)",94%,2023-2024,486346.0,410879.0,522649.0,25290000.0,21365727.0,27177765.0
68,Lens,Ligue 1,54,"€ 469,038 (£ 396,257, $504,050)","€ 24,390,000 (£ 20,605,379, $26,210,583)",100%,2023-2024,469038.0,396257.0,504050.0,24390000.0,20605379.0,26210583.0
69,Augsburg,Bundesliga,59,"€ 468,462 (£ 395,770, $503,430)","€ 24,360,000 (£ 20,580,033, $26,178,344)",94%,2023-2024,468462.0,395770.0,503430.0,24360000.0,20580033.0,26178344.0
70,Hellas Verona,Serie A,64,"€ 455,385 (£ 384,722, $489,377)","€ 23,680,000 (£ 20,005,550, $25,447,589)",65%,2023-2024,455385.0,384722.0,489377.0,23680000.0,20005550.0,25447589.0
71,Nice,Ligue 1,53,"€ 444,423 (£ 375,461, $477,597)","€ 23,110,000 (£ 19,523,996, $24,835,036)",76%,2023-2024,444423.0,375461.0,477597.0,23110000.0,19523996.0,24835036.0
72,Empoli,Serie A,57,"€ 434,615 (£ 367,176, $467,057)","€ 22,600,000 (£ 19,093,136, $24,286,971)",46%,2023-2024,434615.0,367176.0,467057.0,22600000.0,19093136.0,24286971.0
73,Cádiz,La Liga,59,"€ 423,269 (£ 357,590, $454,864)","€ 22,010,000 (£ 18,594,687, $23,652,930)",93%,2023-2024,423269.0,357590.0,454864.0,22010000.0,18594687.0,23652930.0
74,Köln,Bundesliga,56,"€ 420,769 (£ 355,478, $452,177)","€ 21,880,000 (£ 18,484,857, $23,513,227)",100%,2023-2024,420769.0,355478.0,452177.0,21880000.0,18484857.0,23513227.0
75,Freiburg,Bundesliga,48,"€ 415,769 (£ 351,254, $446,804)","€ 21,620,000 (£ 18,265,202, $23,233,814)",95%,2023-2024,415769.0,351254.0,446804.0,21620000.0,18265202.0,23233814.0
76,Lorient,Ligue 1,58,"€ 411,154 (£ 347,355, $441,844)","€ 21,380,000 (£ 18,062,447, $22,975,902)",98%,2023-2024,411154.0,347355.0,441844.0,21380000.0,18062447.0,22975902.0
77,Mallorca,La Liga,47,"€ 396,346 (£ 334,845, $425,931)","€ 20,610,000 (£ 17,411,925, $22,148,429)",93%,2023-2024,396346.0,334845.0,425931.0,20610000.0,17411925.0,22148429.0
78,Frosinone,Serie A,58,"€ 378,846 (£ 320,060, $407,125)","€ 19,700,000 (£ 16,643,133, $21,170,503)",63%,2023-2024,378846.0,320060.0,407125.0,19700000.0,16643133.0,21170503.0
79,Bochum,Bundesliga,59,"€ 346,731 (£ 292,928, $372,612)","€ 18,030,000 (£ 15,232,267, $19,375,842)",93%,2023-2024,346731.0,292928.0,372612.0,18030000.0,15232267.0,19375842.0
80,Granada,La Liga,55,"€ 338,846 (£ 286,267, $364,139)","€ 17,620,000 (£ 14,885,887, $18,935,239)",94%,2023-2024,338846.0,286267.0,364139.0,17620000.0,14885887.0,18935239.0
81,Osasuna,La Liga,42,"€ 335,962 (£ 283,830, $361,039)","€ 17,470,000 (£ 14,759,162, $18,774,043)",95%,2023-2024,335962.0,283830.0,361039.0,17470000.0,14759162.0,18774043.0
82,Strasbourg,Ligue 1,52,"€ 335,192 (£ 283,180, $360,213)","€ 17,430,000 (£ 14,725,369, $18,731,056)",85%,2023-2024,335192.0,283180.0,360213.0,17430000.0,14725369.0,18731056.0
83,Rayo Vallecano,La Liga,49,"€ 333,846 (£ 282,043, $358,766)","€ 17,360,000 (£ 14,666,233, $18,655,835)",83%,2023-2024,333846.0,282043.0,358766.0,17360000.0,14666233.0,18655835.0
84,Almería,La Liga,50,"€ 319,038 (£ 269,533, $342,853)","€ 16,590,000 (£ 14,015,715, $17,828,359)",94%,2023-2024,319038.0,269533.0,342853.0,16590000.0,14015715.0,17828359.0
85,Las Palmas,La Liga,46,"€ 313,269 (£ 264,659, $336,653)","€ 16,290,000 (£ 13,762,265, $17,505,962)",98%,2023-2024,313269.0,264659.0,336653.0,16290000.0,13762265.0,17505962.0
86,Reims,Ligue 1,45,"€ 304,615 (£ 257,348, $327,353)","€ 15,840,000 (£ 13,382,092, $17,022,372)",60%,2023-2024,304615.0,257348.0,327353.0,15840000.0,13382092.0,17022372.0
87,Montpellier,Ligue 1,45,"€ 291,731 (£ 246,463, $313,507)","€ 15,170,000 (£ 12,816,055, $16,302,359)",83%,2023-2024,291731.0,246463.0,313507.0,15170000.0,12816055.0,16302359.0
88,Lecce,Serie A,53,"€ 279,231 (£ 235,902, $300,074)","€ 14,520,000 (£ 12,266,915, $15,603,841)",68%,2023-2024,279231.0,235902.0,300074.0,14520000.0,12266915.0,15603841.0
89,Brest,Ligue 1,45,"€ 268,654 (£ 226,967, $288,707)","€ 13,970,000 (£ 11,802,261, $15,012,785)",87%,2023-2024,268654.0,226967.0,288707.0,13970000.0,11802261.0,15012785.0
90,Darmstadt 98,Bundesliga,58,"€ 254,423 (£ 214,944, $273,414)","€ 13,230,000 (£ 11,177,086, $14,217,548)",100%,2023-2024,254423.0,214944.0,273414.0,13230000.0,11177086.0,14217548.0
91,Alavés,La Liga,39,"€ 240,577 (£ 203,246, $258,535)","€ 12,510,000 (£ 10,568,813, $13,443,806)",100%,2023-2024,240577.0,203246.0,258535.0,12510000.0,10568813.0,13443806.0
92,Le Havre,Ligue 1,51,"€ 226,538 (£ 191,386, $243,448)","€ 11,780,000 (£ 9,952,084, $12,659,312)",100%,2023-2024,226538.0,191386.0,243448.0,11780000.0,9952084.0,12659312.0
93,Metz,Ligue 1,53,"€ 225,192 (£ 190,249, $242,002)","€ 11,710,000 (£ 9,892,945, $12,584,089)",89%,2023-2024,225192.0,190249.0,242002.0,11710000.0,9892945.0,12584089.0
94,Heidenheim,Bundesliga,52,"€ 210,962 (£ 178,226, $226,709)","€ 10,970,000 (£ 9,267,772, $11,788,851)",100%,2023-2024,210962.0,178226.0,226709.0,10970000.0,9267772.0,11788851.0
95,Toulouse,Ligue 1,55,"€ 189,615 (£ 160,192, $203,769)","€ 9,860,000 (£ 8,330,008, $10,595,993)",100%,2023-2024,189615.0,160192.0,203769.0,9860000.0,8330008.0,10595993.0
96,Clermont Foot,Ligue 1,49,"€ 159,615 (£ 134,848, $171,530)","€ 8,300,000 (£ 7,012,083, $8,919,550)",100%,2023-2024,159615.0,134848.0,171530.0,8300000.0,7012083.0,8919550.0
