Rk,Squad,Comp,Num_of_Players,Weekly_Wages,Annual_Wages,Pct_Estimated,Season,Weekly_Wages_EUR,Weekly_Wages_GBP,Weekly_Wages_USD,Annual_Wages_EUR,Annual_Wages_GBP,Annual_Wages_USD
84,Strasbourg,Ligue 1,77,"€ 265,962 (£ 223,011, $271,045)","€ 13,830,000 (£ 11,596,569, $14,094,315)",81%,2021-2022,265962.0,223011.0,271045.0,13830000.0,11596569.0,14094315.0
85,Bochum,Bundesliga,91,"€ 259,808 (£ 217,851, $264,773)","€ 13,510,000 (£ 11,328,246, $13,768,197)",100%,2021-2022,259808.0,217851.0,264773.0,13510000.0,11328246.0,13768197.0
86,Greuther Fürth,Bundesliga,92,"€ 244,231 (£ 204,790, $248,898)","€ 12,700,000 (£ 10,649,056, $12,942,721)",98%,2021-2022,244231.0,204790.0,248898.0,12700000.0,10649056.0,12942721.0
87,Montpellier,Ligue 1,75,"€ 236,923 (£ 198,662, $241,451)","€ 12,320,000 (£ 10,330,424, $12,555,455)",88%,2021-2022,236923.0,198662.0,241451.0,12320000.0,10330424.0,12555455.0
88,Angers,Ligue 1,81,"€ 233,654 (£ 195,921, $238,119)","€ 12,150,000 (£ 10,187,876, $12,382,204)",83%,2021-2022,233654.0,195921.0,238119.0,12150000.0,10187876.0,12382204.0
89,Freiburg,Bundesliga,78,"€ 231,154 (£ 193,824, $235,572)","€ 12,020,000 (£ 10,078,872, $12,249,724)",100%,2021-2022,231154.0,193824.0,235572.0,12020000.0,10078872.0,12249724.0
90,Troyes,Ligue 1,105,"€ 206,346 (£ 173,023, $210,290)","€ 10,730,000 (£ 8,997,193, $10,935,068)",91%,2021-2022,206346.0,173023.0,210290.0,10730000.0,8997193.0,10935068.0
91,Reims,Ligue 1,84,"€ 204,615 (£ 171,572, $208,526)","€ 10,640,000 (£ 8,921,728, $10,843,344)",76%,2021-2022,204615.0,171572.0,208526.0,10640000.0,8921728.0,10843344.0
92,Rayo Vallecano,La Liga,76,"€ 204,519 (£ 171,491, $208,428)","€ 10,635,000 (£ 8,917,536, $10,838,253)",96%,2021-2022,204519.0,171491.0,208428.0,10635000.0,8917536.0,10838253.0
93,Arminia,Bundesliga,76,"€ 204,423 (£ 171,411, $208,330)","€ 10,630,000 (£ 8,913,347, $10,833,157)",99%,2021-2022,204423.0,171411.0,208330.0,10630000.0,8913347.0,10833157.0
94,Brest,Ligue 1,80,"€ 201,346 (£ 168,830, $205,194)","€ 10,470,000 (£ 8,779,184, $10,670,099)",86%,2021-2022,201346.0,168830.0,205194.0,10470000.0,8779184.0,10670099.0
95,Metz,Ligue 1,96,"€ 197,115 (£ 165,283, $200,883)","€ 10,250,000 (£ 8,594,711, $10,445,894)",88%,2021-2022,197115.0,165283.0,200883.0,10250000.0,8594711.0,10445894.0
