Rk,Squad,Comp,Num_Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G_plus_A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG_plus_xAG,PrgC,PrgP,Gls_per90,Ast_per90,G_plus_A_per90,G_minus_PK_per90,G_plus_A_minus_PK_per90,xG_per90,xAG_per90,xG_plus_xAG_per90,npxG_per90,npxG_plus_xAG_per90,Season
18.0,Caen,Ligue 1,26.0,27.3,45.5,38.0,418.0,3420.0,38.0,25.0,19.0,44.0,20.0,5.0,8.0,68.0,4.0,42.8,36.6,29.6,66.3,598.0,1548.0,0.66,0.5,1.16,0.53,1.03,1.13,0.78,1.91,0.96,1.74,2017-2018
19.0,Cagliari,Serie A,29.0,27.1,45.3,38.0,418.0,3420.0,38.0,33.0,21.0,54.0,29.0,4.0,7.0,96.0,0.0,39.7,34.2,27.4,61.6,464.0,1348.0,0.87,0.55,1.42,0.76,1.32,1.04,0.72,1.77,0.9,1.62,2017-2018
20.0,Celta Vigo,La Liga,23.0,25.7,55.7,38.0,418.0,3420.0,38.0,57.0,45.0,102.0,55.0,2.0,3.0,85.0,1.0,55.0,52.6,43.0,95.6,724.0,1595.0,1.5,1.18,2.68,1.45,2.63,1.45,1.13,2.58,1.39,2.52,2017-2018
21.0,Chelsea,Premier League,26.0,26.7,55.6,38.0,418.0,3420.0,38.0,60.0,42.0,102.0,57.0,3.0,3.0,46.0,0.0,54.4,52.0,41.5,93.5,1045.0,1998.0,1.58,1.11,2.68,1.5,2.61,1.43,1.09,2.52,1.37,2.46,2017-2018
22.0,Chievo,Serie A,25.0,30.3,44.4,38.0,418.0,3420.0,38.0,36.0,20.0,56.0,35.0,1.0,2.0,75.0,0.0,34.1,32.5,25.2,57.7,554.0,1358.0,0.95,0.53,1.47,0.92,1.45,0.9,0.66,1.56,0.85,1.52,2017-2018
23.0,Crotone,Serie A,29.0,25.6,39.9,38.0,418.0,3420.0,38.0,38.0,21.0,59.0,36.0,2.0,3.0,65.0,0.0,34.6,32.2,23.4,55.6,472.0,1250.0,1.0,0.55,1.55,0.95,1.5,0.91,0.62,1.53,0.85,1.46,2017-2018
24.0,Crystal Palace,Premier League,28.0,27.1,45.2,38.0,418.0,3420.0,38.0,44.0,26.0,70.0,36.0,8.0,10.0,72.0,0.0,53.5,45.9,33.3,79.2,727.0,1308.0,1.16,0.68,1.84,0.95,1.63,1.41,0.88,2.28,1.21,2.08,2017-2018
25.0,Dijon,Ligue 1,26.0,26.6,48.4,38.0,418.0,3420.0,38.0,52.0,36.0,88.0,47.0,5.0,5.0,70.0,5.0,41.6,37.8,29.2,67.0,659.0,1320.0,1.37,0.95,2.32,1.24,2.18,1.09,0.77,1.86,1.0,1.76,2017-2018
26.0,Dortmund,Bundesliga,30.0,25.9,59.1,34.0,374.0,3060.0,34.0,62.0,44.0,106.0,59.0,3.0,6.0,41.0,0.0,66.0,61.4,48.9,110.3,733.0,1712.0,1.82,1.29,3.12,1.74,3.03,1.94,1.44,3.38,1.81,3.24,2017-2018
27.0,Eibar,La Liga,27.0,27.4,52.0,38.0,418.0,3420.0,38.0,43.0,31.0,74.0,41.0,2.0,3.0,86.0,3.0,40.9,38.6,30.2,68.8,635.0,1468.0,1.13,0.82,1.95,1.08,1.89,1.08,0.79,1.87,1.02,1.81,2017-2018
28.0,Eint Frankfurt,Bundesliga,28.0,26.4,47.9,34.0,374.0,3060.0,34.0,44.0,34.0,78.0,42.0,2.0,2.0,72.0,0.0,42.2,40.9,30.7,71.6,492.0,1292.0,1.29,1.0,2.29,1.24,2.24,1.24,0.9,2.14,1.2,2.11,2017-2018
29.0,Espanyol,La Liga,25.0,26.8,46.9,38.0,418.0,3420.0,38.0,33.0,24.0,57.0,31.0,2.0,3.0,88.0,1.0,41.1,38.7,27.8,66.4,532.0,1276.0,0.87,0.63,1.5,0.82,1.45,1.08,0.73,1.81,1.02,1.75,2017-2018
30.0,Everton,Premier League,30.0,26.7,45.5,38.0,418.0,3420.0,38.0,42.0,26.0,68.0,37.0,5.0,8.0,55.0,0.0,40.5,34.1,24.7,58.8,477.0,1161.0,1.11,0.68,1.79,0.97,1.66,1.07,0.65,1.71,0.9,1.55,2017-2018
31.0,Fiorentina,Serie A,27.0,25.0,52.6,38.0,418.0,3420.0,38.0,53.0,32.0,85.0,46.0,7.0,8.0,89.0,0.0,54.5,48.3,37.9,86.2,737.0,1695.0,1.39,0.84,2.24,1.21,2.05,1.43,1.0,2.43,1.27,2.27,2017-2018
32.0,Freiburg,Bundesliga,29.0,24.8,44.8,34.0,374.0,3060.0,34.0,32.0,21.0,53.0,26.0,6.0,10.0,56.0,0.0,39.6,31.7,25.0,56.8,399.0,1061.0,0.94,0.62,1.56,0.76,1.38,1.16,0.74,1.9,0.93,1.67,2017-2018
33.0,Genoa,Serie A,33.0,27.9,46.3,38.0,418.0,3420.0,38.0,31.0,18.0,49.0,27.0,4.0,5.0,75.0,0.0,43.5,39.6,31.9,71.5,699.0,1475.0,0.82,0.47,1.29,0.71,1.18,1.15,0.84,1.99,1.04,1.88,2017-2018
34.0,Getafe,La Liga,32.0,28.2,40.2,38.0,418.0,3420.0,38.0,41.0,27.0,68.0,36.0,5.0,12.0,134.0,5.0,48.2,38.6,29.6,68.2,374.0,1092.0,1.08,0.71,1.79,0.95,1.66,1.27,0.78,2.05,1.02,1.79,2017-2018
35.0,Girona,La Liga,25.0,26.3,46.8,38.0,418.0,3420.0,38.0,50.0,31.0,81.0,44.0,6.0,8.0,102.0,0.0,50.6,44.4,34.4,78.8,590.0,1215.0,1.32,0.82,2.13,1.16,1.97,1.33,0.9,2.24,1.17,2.07,2017-2018
36.0,Gladbach,Bundesliga,27.0,25.7,52.0,34.0,374.0,3060.0,34.0,46.0,26.0,72.0,40.0,6.0,7.0,47.0,0.0,51.1,45.8,35.0,80.8,578.0,1385.0,1.35,0.76,2.12,1.18,1.94,1.5,1.03,2.53,1.35,2.38,2017-2018
37.0,Guingamp,Ligue 1,23.0,27.2,49.7,38.0,418.0,3420.0,38.0,46.0,27.0,73.0,40.0,6.0,7.0,67.0,2.0,45.5,40.1,30.0,70.1,763.0,1519.0,1.21,0.71,1.92,1.05,1.76,1.2,0.79,1.99,1.06,1.85,2017-2018
38.0,Hamburger SV,Bundesliga,29.0,25.0,49.0,34.0,374.0,3060.0,34.0,28.0,18.0,46.0,25.0,3.0,5.0,63.0,0.0,37.7,33.8,24.1,58.0,568.0,1283.0,0.82,0.53,1.35,0.74,1.26,1.11,0.71,1.82,0.99,1.7,2017-2018
39.0,Hannover 96,Bundesliga,26.0,26.4,46.9,34.0,374.0,3060.0,34.0,44.0,26.0,70.0,40.0,4.0,5.0,63.0,0.0,44.6,40.6,30.7,71.4,472.0,1237.0,1.29,0.76,2.06,1.18,1.94,1.31,0.9,2.22,1.2,2.1,2017-2018
40.0,Hellas Verona,Serie A,32.0,25.9,41.9,38.0,418.0,3420.0,38.0,30.0,19.0,49.0,23.0,7.0,7.0,98.0,0.0,33.0,27.7,21.1,48.8,635.0,1077.0,0.79,0.5,1.29,0.61,1.11,0.87,0.56,1.42,0.73,1.28,2017-2018
41.0,Hertha BSC,Bundesliga,25.0,26.4,46.1,34.0,374.0,3060.0,34.0,43.0,32.0,75.0,39.0,4.0,5.0,49.0,0.0,39.2,35.3,27.8,63.1,426.0,1219.0,1.26,0.94,2.21,1.15,2.09,1.15,0.82,1.97,1.04,1.86,2017-2018
42.0,Hoffenheim,Bundesliga,26.0,25.0,51.2,34.0,374.0,3060.0,34.0,64.0,47.0,111.0,60.0,4.0,5.0,71.0,0.0,50.5,46.6,36.6,83.2,644.0,1351.0,1.88,1.38,3.26,1.76,3.15,1.48,1.08,2.56,1.37,2.45,2017-2018
43.0,Huddersfield,Premier League,25.0,26.4,45.7,38.0,418.0,3420.0,38.0,25.0,19.0,44.0,23.0,2.0,2.0,65.0,0.0,31.3,29.8,23.7,53.5,627.0,1210.0,0.66,0.5,1.16,0.61,1.11,0.82,0.62,1.45,0.78,1.41,2017-2018
44.0,Inter,Serie A,22.0,27.6,57.1,38.0,418.0,3420.0,38.0,64.0,34.0,98.0,58.0,6.0,7.0,69.0,0.0,56.7,51.3,43.8,95.2,947.0,1877.0,1.68,0.89,2.58,1.53,2.42,1.49,1.15,2.65,1.35,2.51,2017-2018
45.0,Juventus,Serie A,24.0,29.2,57.2,38.0,418.0,3420.0,38.0,82.0,39.0,121.0,78.0,4.0,8.0,66.0,0.0,55.3,49.4,37.9,87.2,789.0,1704.0,2.16,1.03,3.18,2.05,3.08,1.46,1.0,2.45,1.3,2.3,2017-2018
46.0,Köln,Bundesliga,31.0,25.3,47.4,34.0,374.0,3060.0,34.0,33.0,24.0,57.0,30.0,3.0,3.0,70.0,0.0,43.2,41.0,29.8,70.8,507.0,1331.0,0.97,0.71,1.68,0.88,1.59,1.27,0.88,2.15,1.21,2.08,2017-2018
47.0,La Coruña,La Liga,32.0,28.2,46.8,38.0,418.0,3420.0,38.0,38.0,30.0,68.0,35.0,3.0,5.0,100.0,2.0,51.6,47.7,40.0,87.7,640.0,1477.0,1.0,0.79,1.79,0.92,1.71,1.36,1.05,2.41,1.25,2.31,2017-2018
48.0,Las Palmas,La Liga,36.0,27.0,54.7,38.0,418.0,3420.0,38.0,24.0,15.0,39.0,18.0,6.0,8.0,89.0,3.0,38.5,32.3,24.8,57.1,726.0,1332.0,0.63,0.39,1.03,0.47,0.87,1.01,0.65,1.66,0.85,1.5,2017-2018
49.0,Lazio,Serie A,24.0,26.5,51.1,38.0,418.0,3420.0,38.0,86.0,51.0,137.0,77.0,9.0,11.0,79.0,0.0,63.7,55.2,45.8,101.0,915.0,1802.0,2.26,1.34,3.61,2.03,3.37,1.68,1.21,2.88,1.45,2.66,2017-2018
50.0,Leganés,La Liga,28.0,27.8,43.0,38.0,418.0,3420.0,38.0,32.0,23.0,55.0,30.0,2.0,3.0,105.0,5.0,39.9,37.6,30.0,67.6,534.0,1111.0,0.84,0.61,1.45,0.79,1.39,1.05,0.79,1.84,0.99,1.78,2017-2018
51.0,Leicester City,Premier League,27.0,27.2,48.0,38.0,418.0,3420.0,38.0,53.0,38.0,91.0,48.0,5.0,6.0,60.0,0.0,50.0,45.3,34.9,80.2,655.0,1271.0,1.39,1.0,2.39,1.26,2.26,1.32,0.92,2.24,1.19,2.11,2017-2018
52.0,Levante,La Liga,33.0,25.7,42.8,38.0,418.0,3420.0,38.0,43.0,28.0,71.0,38.0,5.0,5.0,111.0,6.0,44.7,40.8,31.8,72.7,676.0,1286.0,1.13,0.74,1.87,1.0,1.74,1.18,0.84,2.02,1.07,1.91,2017-2018
53.0,Leverkusen,Bundesliga,24.0,24.0,54.6,34.0,374.0,3060.0,34.0,58.0,46.0,104.0,55.0,3.0,5.0,57.0,0.0,57.5,53.6,42.4,95.9,696.0,1661.0,1.71,1.35,3.06,1.62,2.97,1.69,1.25,2.94,1.58,2.82,2017-2018
54.0,Lille,Ligue 1,25.0,22.6,53.8,38.0,418.0,3420.0,38.0,41.0,31.0,72.0,39.0,2.0,2.0,61.0,6.0,36.4,34.8,29.7,64.5,831.0,1581.0,1.08,0.82,1.89,1.03,1.84,0.96,0.78,1.74,0.92,1.7,2017-2018
55.0,Liverpool,Premier League,27.0,25.6,60.3,38.0,418.0,3420.0,38.0,82.0,58.0,140.0,80.0,2.0,3.0,44.0,0.0,72.9,70.6,52.7,123.3,982.0,2236.0,2.16,1.53,3.68,2.11,3.63,1.92,1.39,3.31,1.86,3.24,2017-2018
